Time,TR,RM
0,1,0.282723
1,0.991266,0.292053
2,0.983739,0.308217
3,0.977088,0.327156
4,0.971102,0.347936
5,0.965649,0.370261
6,0.960636,0.394024
7,0.955996,0.419197
8,0.951678,0.445787
9,0.947644,0.473822
10,0.943859,0.503341
11,0.940297,0.534391
12,0.936936,0.567019
13,0.933755,0.601276
14,0.930737,0.637214
15,0.927867,0.674883
16,0.925131,0.714332
17,0.922516,0.75561
18,0.92001,0.798762
19,0.917604,0.843833
20,0.915287,0.890863
21,0.91305,0.939889
22,0.910886,0.990945
23,0.908786,1.04406
24,0.906743,1.09926
25,0.90475,1.15657
26,0.902802,1.21599
27,0.900892,1.27755
28,0.899015,1.34124
29,0.897166,1.40707
30,0.895339,1.47502
31,0.893531,1.54508
32,0.891737,1.61724
33,0.889954,1.69146
34,0.888178,1.76772
35,0.886405,1.84597
36,0.884632,1.92618
37,0.882857,2.00828
38,0.881077,2.09223
39,0.879289,2.17796
40,0.877491,2.2654
41,0.875681,2.35448
42,0.873857,2.44513
43,0.872018,2.53727
44,0.870162,2.63081
45,0.868287,2.72566
46,0.866393,2.82174
47,0.864478,2.91894
48,0.862542,3.01719
49,0.860583,3.11638
50,0.858601,3.21642
51,0.856595,3.31721
52,0.854566,3.41866
53,0.852511,3.52067
54,0.850433,3.62314
55,0.848329,3.72599
56,0.8462,3.82912
57,0.844047,3.93245
58,0.841869,4.03588
59,0.839666,4.13933
60,0.837439,4.24273
61,0.835188,4.34598
62,0.832913,4.44903
63,0.830614,4.55179
64,0.828293,4.65419
65,0.825949,4.75618
66,0.823583,4.85769
67,0.821196,4.95866
68,0.818788,5.05903
69,0.81636,5.15876
70,0.813912,5.25781
71,0.811445,5.35611
72,0.80896,5.45365
73,0.806457,5.55036
74,0.803938,5.64624
75,0.801402,5.74123
76,0.79885,5.83532
77,0.796284,5.92848
78,0.793704,6.02069
79,0.79111,6.11192
80,0.788503,6.20217
81,0.785885,6.29141
82,0.783255,6.37964
83,0.780615,6.46685
84,0.777964,6.55302
85,0.775305,6.63815
86,0.772637,6.72224
87,0.769961,6.80528
88,0.767278,6.88728
89,0.764589,6.96824
90,0.761894,7.04815
91,0.759193,7.12702
92,0.756488,7.20485
93,0.753779,7.28166
94,0.751066,7.35744
95,0.748351,7.4322
96,0.745633,7.50596
97,0.742913,7.57871
98,0.740193,7.65048
99,0.737471,7.72127
100,0.73475,7.79109
101,0.732028,7.85995
102,0.729308,7.92787
103,0.726589,7.99485
104,0.723871,8.06091
105,0.721156,8.12606
106,0.718443,8.19032
107,0.715733,8.25369
108,0.713026,8.31619
109,0.710324,8.37783
110,0.707625,8.43862
111,0.704931,8.49859
112,0.702241,8.55773
113,0.699557,8.61607
114,0.696878,8.67362
115,0.694205,8.73039
116,0.691538,8.78639
117,0.688877,8.84163
118,0.686223,8.89614
119,0.683575,8.94991
120,0.680935,9.00297
121,0.678301,9.05533
122,0.675676,9.10699
123,0.673058,9.15798
124,0.670448,9.20829
125,0.667846,9.25795
126,0.665252,9.30696
127,0.662666,9.35535
128,0.66009,9.4031
129,0.657522,9.45025
130,0.654962,9.49679
131,0.652412,9.54275
132,0.649871,9.58812
133,0.647339,9.63293
134,0.644817,9.67717
135,0.642304,9.72086
136,0.6398,9.76401
137,0.637306,9.80663
138,0.634822,9.84873
139,0.632348,9.89031
140,0.629883,9.93139
141,0.627428,9.97197
142,0.624983,10.0121
143,0.622549,10.0517
144,0.620124,10.0908
145,0.617709,10.1295
146,0.615305,10.1677
147,0.61291,10.2055
148,0.610526,10.2428
149,0.608152,10.2797
150,0.605788,10.3162
151,0.603434,10.3522
152,0.601091,10.3879
153,0.598758,10.4231
154,0.596435,10.4579
155,0.594122,10.4924
156,0.591819,10.5264
157,0.589527,10.5601
158,0.587244,10.5933
159,0.584972,10.6262
160,0.58271,10.6588
161,0.580459,10.691
162,0.578217,10.7228
163,0.575985,10.7543
164,0.573763,10.7854
165,0.571552,10.8162
166,0.56935,10.8467
167,0.567158,10.8768
168,0.564976,10.9066
169,0.562804,10.9361
170,0.560642,10.9653
171,0.55849,10.9942
172,0.556347,11.0227
173,0.554214,11.051
174,0.552091,11.0789
175,0.549977,11.1066
176,0.547873,11.134
177,0.545779,11.1611
178,0.543693,11.1879
179,0.541618,11.2144
180,0.539551,11.2406
181,0.537494,11.2666
182,0.535446,11.2923
183,0.533408,11.3178
184,0.531378,11.3429
185,0.529358,11.3678
186,0.527346,11.3925
187,0.525344,11.4169
188,0.52335,11.4411
189,0.521366,11.465
190,0.51939,11.4887
191,0.517423,11.5121
192,0.515464,11.5353
193,0.513515,11.5583
194,0.511574,11.581
195,0.509641,11.6035
196,0.507717,11.6258
197,0.505801,11.6479
198,0.503894,11.6697
199,0.501995,11.6913
200,0.500104,11.7127
201,0.498221,11.7339
202,0.496347,11.7549
203,0.494481,11.7757
204,0.492622,11.7962
205,0.490772,11.8166
206,0.488929,11.8368
207,0.487095,11.8567
208,0.485268,11.8765
209,0.483449,11.8961
210,0.481637,11.9154
211,0.479833,11.9346
212,0.478037,11.9536
213,0.476248,11.9725
214,0.474467,11.9911
215,0.472693,12.0095
216,0.470927,12.0278
217,0.469168,12.0459
218,0.467416,12.0638
219,0.465671,12.0816
220,0.463934,12.0991
221,0.462204,12.1165
222,0.46048,12.1337
223,0.458764,12.1508
224,0.457055,12.1677
225,0.455352,12.1844
226,0.453657,12.201
227,0.451968,12.2174
228,0.450286,12.2337
229,0.448611,12.2498
230,0.446942,12.2657
231,0.44528,12.2815
232,0.443625,12.2971
233,0.441976,12.3126
234,0.440334,12.328
235,0.438698,12.3431
236,0.437068,12.3582
237,0.435445,12.3731
238,0.433828,12.3878
239,0.432218,12.4025
240,0.430613,12.4169
241,0.429015,12.4313
242,0.427423,12.4455
243,0.425837,12.4595
244,0.424257,12.4734
245,0.422683,12.4872
246,0.421116,12.5009
247,0.419554,12.5144
248,0.417998,12.5278
249,0.416448,12.5411
250,0.414903,12.5543
251,0.413365,12.5673
252,0.411832,12.5802
253,0.410305,12.593
254,0.408784,12.6056
255,0.407268,12.6181
256,0.405758,12.6306
257,0.404253,12.6429
258,0.402754,12.655
259,0.401261,12.6671
260,0.399773,12.679
261,0.39829,12.6909
262,0.396813,12.7026
263,0.395341,12.7142
264,0.393875,12.7257
265,0.392414,12.7371
266,0.390958,12.7484
267,0.389508,12.7596
268,0.388062,12.7706
269,0.386622,12.7816
270,0.385187,12.7925
271,0.383757,12.8032
272,0.382332,12.8139
273,0.380913,12.8245
274,0.379498,12.8349
275,0.378088,12.8453
276,0.376684,12.8555
277,0.375284,12.8657
278,0.373889,12.8758
279,0.3725,12.8857
280,0.371115,12.8956
281,0.369734,12.9054
282,0.368359,12.9151
283,0.366989,12.9247
284,0.365623,12.9342
285,0.364262,12.9436
286,0.362906,12.953
287,0.361555,12.9622
288,0.360208,12.9714
289,0.358866,12.9805
290,0.357528,12.9895
291,0.356195,12.9984
292,0.354867,13.0072
293,0.353543,13.0159
294,0.352224,13.0246
295,0.35091,13.0332
296,0.349599,13.0417
297,0.348294,13.0501
298,0.346993,13.0584
299,0.345696,13.0667
300,0.344404,13.0748
301,0.343116,13.083
302,0.341832,13.091
303,0.340553,13.0989
304,0.339278,13.1068
305,0.338008,13.1146
306,0.336742,13.1224
307,0.33548,13.13
308,0.334222,13.1376
309,0.332969,13.1451
310,0.33172,13.1526
311,0.330475,13.16
312,0.329234,13.1673
313,0.327998,13.1745
314,0.326765,13.1817
315,0.325537,13.1888
316,0.324313,13.1959
317,0.323093,13.2029
318,0.321877,13.2098
319,0.320666,13.2166
320,0.319458,13.2234
321,0.318254,13.2301
322,0.317055,13.2368
323,0.315859,13.2434
324,0.314668,13.25
325,0.31348,13.2564
326,0.312296,13.2629
327,0.311117,13.2692
328,0.309941,13.2755
329,0.308769,13.2818
330,0.307601,13.288
331,0.306438,13.2941
332,0.305278,13.3002
333,0.304121,13.3062
334,0.302969,13.3122
335,0.301821,13.3181
336,0.300676,13.3239
337,0.299535,13.3298
338,0.298398,13.3355
339,0.297265,13.3412
340,0.296136,13.3469
341,0.29501,13.3525
342,0.293888,13.358
343,0.29277,13.3635
344,0.291656,13.3689
345,0.290545,13.3743
346,0.289438,13.3797
347,0.288335,13.385
348,0.287235,13.3902
349,0.286139,13.3954
350,0.285047,13.4006
351,0.283958,13.4057
352,0.282874,13.4108
353,0.281792,13.4158
354,0.280715,13.4208
355,0.279641,13.4257
356,0.27857,13.4306
357,0.277503,13.4355
358,0.27644,13.4403
359,0.27538,13.445
360,0.274324,13.4497
361,0.273271,13.4544
362,0.272222,13.459
363,0.271177,13.4636
364,0.270134,13.4682
365,0.269096,13.4727
366,0.268061,13.4772
367,0.267029,13.4816
368,0.266001,13.486
369,0.264976,13.4903
370,0.263955,13.4947
371,0.262937,13.4989
372,0.261923,13.5032
373,0.260912,13.5074
374,0.259905,13.5116
375,0.2589,13.5157
376,0.2579,13.5198
377,0.256902,13.5238
378,0.255908,13.5279
379,0.254918,13.5319
380,0.253931,13.5358
381,0.252947,13.5397
382,0.251966,13.5436
383,0.250989,13.5475
384,0.250015,13.5513
385,0.249045,13.5551
386,0.248077,13.5588
387,0.247113,13.5626
388,0.246153,13.5662
389,0.245195,13.5699
390,0.244241,13.5735
391,0.24329,13.5771
392,0.242343,13.5807
393,0.241398,13.5842
394,0.240457,13.5878
395,0.239519,13.5912
396,0.238585,13.5947
397,0.237653,13.5981
398,0.236725,13.6015
399,0.2358,13.6049
400,0.234878,13.6082
401,0.233959,13.6115
402,0.233043,13.6148
403,0.232131,13.618
404,0.231222,13.6213
405,0.230316,13.6245
406,0.229413,13.6276
407,0.228513,13.6308
408,0.227616,13.6339
409,0.226723,13.637
410,0.225832,13.6401
411,0.224945,13.6431
412,0.22406,13.6461
413,0.223179,13.6491
414,0.222301,13.6521
415,0.221426,13.655
416,0.220554,13.658
417,0.219685,13.6609
418,0.218819,13.6637
419,0.217956,13.6666
420,0.217096,13.6694
421,0.216239,13.6722
422,0.215385,13.675
423,0.214534,13.6778
424,0.213686,13.6805
425,0.212842,13.6833
426,0.212,13.6859
427,0.211161,13.6886
428,0.210325,13.6913
429,0.209492,13.6939
430,0.208662,13.6965
431,0.207835,13.6991
432,0.20701,13.7017
433,0.206189,13.7043
434,0.205371,13.7068
435,0.204555,13.7093
436,0.203743,13.7118
437,0.202933,13.7143
438,0.202126,13.7167
439,0.201323,13.7192
440,0.200522,13.7216
441,0.199724,13.724
442,0.198928,13.7264
443,0.198136,13.7288
444,0.197346,13.7311
445,0.19656,13.7334
446,0.195776,13.7358
447,0.194995,13.7381
448,0.194216,13.7403
449,0.193441,13.7426
450,0.192668,13.7448
451,0.191899,13.7471
452,0.191131,13.7493
453,0.190367,13.7515
454,0.189606,13.7537
455,0.188847,13.7558
456,0.188091,13.758
457,0.187338,13.7601
458,0.186587,13.7622
459,0.185839,13.7643
460,0.185094,13.7664
461,0.184352,13.7685
462,0.183613,13.7706
463,0.182876,13.7726
464,0.182142,13.7746
465,0.18141,13.7766
466,0.180681,13.7786
467,0.179955,13.7806
468,0.179232,13.7826
469,0.178511,13.7846
470,0.177793,13.7865
471,0.177077,13.7884
472,0.176364,13.7904
473,0.175654,13.7923
474,0.174947,13.7942
475,0.174242,13.796
476,0.173539,13.7979
477,0.17284,13.7998
478,0.172142,13.8016
479,0.171448,13.8034
480,0.170756,13.8052
481,0.170067,13.8071
482,0.16938,13.8088
483,0.168695,13.8106
484,0.168014,13.8124
485,0.167335,13.8142
486,0.166658,13.8159
487,0.165984,13.8176
488,0.165312,13.8194
489,0.164643,13.8211
490,0.163977,13.8228
491,0.163313,13.8245
492,0.162651,13.8261
493,0.161992,13.8278
494,0.161336,13.8295
495,0.160682,13.8311
496,0.16003,13.8328
497,0.159381,13.8344
498,0.158734,13.836
499,0.15809,13.8376
500,0.157449,13.8392
501,0.156809,13.8408
502,0.156172,13.8424
503,0.155538,13.8439
504,0.154906,13.8455
505,0.154276,13.847
506,0.153649,13.8486
507,0.153024,13.8501
508,0.152402,13.8516
509,0.151782,13.8532
510,0.151164,13.8547
511,0.150548,13.8561
512,0.149935,13.8576
513,0.149325,13.8591
514,0.148717,13.8606
515,0.148111,13.862
516,0.147507,13.8635
517,0.146906,13.8649
518,0.146307,13.8664
519,0.14571,13.8678
520,0.145116,13.8692
521,0.144524,13.8706
522,0.143934,13.872
523,0.143346,13.8734
524,0.142761,13.8748
525,0.142178,13.8762
526,0.141597,13.8775
527,0.141019,13.8789
528,0.140443,13.8803
529,0.139869,13.8816
530,0.139297,13.8829
531,0.138728,13.8843
532,0.13816,13.8856
533,0.137595,13.8869
534,0.137032,13.8882
535,0.136472,13.8895
536,0.135913,13.8908
537,0.135357,13.8921
538,0.134803,13.8934
539,0.134251,13.8947
540,0.133701,13.8959
541,0.133154,13.8972
542,0.132608,13.8985
543,0.132065,13.8997
544,0.131524,13.901
545,0.130985,13.9022
546,0.130448,13.9034
547,0.129913,13.9047
548,0.12938,13.9059
549,0.12885,13.9071
550,0.128321,13.9083
551,0.127795,13.9095
552,0.12727,13.9107
553,0.126748,13.9119
554,0.126228,13.9131
555,0.12571,13.9142
556,0.125194,13.9154
557,0.12468,13.9166
558,0.124168,13.9177
559,0.123658,13.9189
560,0.12315,13.92
561,0.122644,13.9212
562,0.12214,13.9223
563,0.121638,13.9234
564,0.121138,13.9246
565,0.120641,13.9257
566,0.120145,13.9268
567,0.119651,13.9279
568,0.119159,13.929
569,0.118669,13.9301
570,0.118181,13.9312
571,0.117695,13.9323
572,0.117211,13.9334
573,0.116729,13.9345
574,0.116249,13.9355
575,0.11577,13.9366
576,0.115294,13.9377
