Time,TR,RM
0,1,0.282723
1,0.977926,0.296037
2,0.958599,0.316282
3,0.941428,0.339511
4,0.926002,0.364827
5,0.912029,0.391954
6,0.899291,0.420805
7,0.887618,0.451367
8,0.876872,0.483666
9,0.866944,0.517743
10,0.857738,0.553655
11,0.849177,0.591464
12,0.841192,0.631233
13,0.833723,0.673031
14,0.82672,0.716926
15,0.820135,0.762984
16,0.813928,0.811273
17,0.808063,0.861858
18,0.802506,0.914801
19,0.797227,0.970163
20,0.7922,1.028
21,0.787401,1.08837
22,0.782807,1.15132
23,0.778397,1.21689
24,0.774153,1.28512
25,0.770059,1.35606
26,0.766098,1.42972
27,0.762256,1.50612
28,0.758521,1.58529
29,0.75488,1.66723
30,0.751323,1.75195
31,0.747839,1.83942
32,0.74442,1.92965
33,0.741056,2.0226
34,0.737741,2.11825
35,0.734467,2.21655
36,0.731228,2.31746
37,0.728018,2.42092
38,0.724833,2.52687
39,0.721667,2.63524
40,0.718517,2.74595
41,0.715379,2.85892
42,0.712249,2.97406
43,0.709126,3.09126
44,0.706006,3.21043
45,0.702887,3.33146
46,0.699768,3.45424
47,0.696648,3.57865
48,0.693524,3.70457
49,0.690397,3.83189
50,0.687266,3.96047
51,0.684129,4.09019
52,0.680988,4.22093
53,0.677842,4.35256
54,0.674691,4.48496
55,0.671535,4.61799
56,0.668375,4.75154
57,0.665212,4.88548
58,0.662045,5.01969
59,0.658876,5.15406
60,0.655705,5.28847
61,0.652534,5.42281
62,0.649363,5.55696
63,0.646193,5.69083
64,0.643025,5.82431
65,0.63986,5.95731
66,0.636698,6.08973
67,0.633542,6.22149
68,0.630392,6.35249
69,0.627249,6.48267
70,0.624113,6.61195
71,0.620986,6.74024
72,0.617869,6.8675
73,0.614763,6.99365
74,0.611668,7.11863
75,0.608585,7.2424
76,0.605516,7.3649
77,0.60246,7.48609
78,0.599419,7.60592
79,0.596392,7.72436
80,0.593382,7.84136
81,0.590389,7.95691
82,0.587412,8.07097
83,0.584453,8.18351
84,0.581511,8.29452
85,0.578588,8.40397
86,0.575684,8.51185
87,0.572799,8.61815
88,0.569934,8.72286
89,0.567088,8.82596
90,0.564263,8.92745
91,0.561457,9.02732
92,0.558672,9.12558
93,0.555908,9.22223
94,0.553164,9.31726
95,0.550441,9.41068
96,0.547738,9.50249
97,0.545057,9.5927
98,0.542397,9.68132
99,0.539757,9.76835
100,0.537138,9.85381
101,0.53454,9.9377
102,0.531963,10.02
103,0.529406,10.1008
104,0.526869,10.1801
105,0.524354,10.2579
106,0.521858,10.3341
107,0.519382,10.4089
108,0.516927,10.4822
109,0.514491,10.5541
110,0.512074,10.6246
111,0.509677,10.6936
112,0.507299,10.7612
113,0.50494,10.8274
114,0.5026,10.8923
115,0.500278,10.9559
116,0.497974,11.0181
117,0.495688,11.079
118,0.493421,11.1387
119,0.49117,11.197
120,0.488937,11.2541
121,0.486721,11.31
122,0.484521,11.3647
123,0.482338,11.4182
124,0.480172,11.4705
125,0.478021,11.5217
126,0.475886,11.5717
127,0.473767,11.6206
128,0.471662,11.6684
129,0.469573,11.7152
130,0.467498,11.7609
131,0.465438,11.8055
132,0.463392,11.8491
133,0.46136,11.8918
134,0.459342,11.9334
135,0.457337,11.974
136,0.455345,12.0137
137,0.453366,12.0525
138,0.4514,12.0904
139,0.449447,12.1273
140,0.447506,12.1634
141,0.445577,12.1986
142,0.443659,12.233
143,0.441754,12.2665
144,0.43986,12.2992
145,0.437977,12.3311
146,0.436104,12.3622
147,0.434243,12.3925
148,0.432392,12.4221
149,0.430552,12.4509
150,0.428722,12.479
151,0.426902,12.5063
152,0.425091,12.533
153,0.423291,12.559
154,0.4215,12.5843
155,0.419718,12.609
156,0.417945,12.633
157,0.416181,12.6563
158,0.414426,12.6791
159,0.412679,12.7012
160,0.410941,12.7228
161,0.409211,12.7437
162,0.40749,12.7641
163,0.405776,12.7839
164,0.404071,12.8032
165,0.402373,12.8219
166,0.400683,12.8401
167,0.399,12.8577
168,0.397325,12.8749
169,0.395656,12.8916
170,0.393995,12.9077
171,0.392341,12.9235
172,0.390694,12.9387
173,0.389054,12.9535
174,0.38742,12.9678
175,0.385793,12.9817
176,0.384173,12.9951
177,0.382558,13.0082
178,0.38095,13.0208
179,0.379349,13.033
180,0.377753,13.0449
181,0.376163,13.0563
182,0.374579,13.0674
183,0.373002,13.0781
184,0.371429,13.0884
185,0.369863,13.0984
186,0.368302,13.108
187,0.366747,13.1173
188,0.365197,13.1263
189,0.363652,13.1349
190,0.362113,13.1432
191,0.360579,13.1512
192,0.359051,13.1589
193,0.357527,13.1663
194,0.356009,13.1734
195,0.354496,13.1802
196,0.352987,13.1868
197,0.351484,13.193
198,0.349985,13.199
199,0.348492,13.2048
200,0.347003,13.2102
201,0.345519,13.2155
202,0.34404,13.2204
203,0.342565,13.2252
204,0.341095,13.2297
205,0.339629,13.234
206,0.338168,13.238
207,0.336712,13.2419
208,0.33526,13.2455
209,0.333813,13.2489
210,0.33237,13.2521
211,0.330931,13.2552
212,0.329497,13.258
213,0.328067,13.2606
214,0.326641,13.263
215,0.32522,13.2653
216,0.323803,13.2674
217,0.32239,13.2693
218,0.320982,13.271
219,0.319577,13.2726
220,0.318177,13.274
221,0.316781,13.2752
222,0.315389,13.2763
223,0.314002,13.2773
224,0.312618,13.2781
225,0.311238,13.2787
226,0.309863,13.2792
227,0.308492,13.2796
228,0.307124,13.2798
229,0.305761,13.2799
230,0.304402,13.2799
231,0.303047,13.2798
232,0.301696,13.2795
233,0.300349,13.2791
234,0.299005,13.2786
235,0.297666,13.278
236,0.296331,13.2773
237,0.295,13.2764
238,0.293673,13.2755
239,0.292349,13.2744
240,0.29103,13.2733
241,0.289715,13.2721
242,0.288403,13.2707
243,0.287096,13.2693
244,0.285792,13.2678
245,0.284493,13.2662
246,0.283197,13.2645
247,0.281905,13.2627
248,0.280617,13.2609
249,0.279334,13.2589
250,0.278054,13.2569
251,0.276777,13.2548
252,0.275505,13.2527
253,0.274237,13.2504
254,0.272973,13.2481
255,0.271712,13.2458
256,0.270456,13.2434
257,0.269203,13.2409
258,0.267954,13.2383
259,0.26671,13.2357
260,0.265469,13.233
261,0.264232,13.2303
262,0.262999,13.2275
263,0.26177,13.2247
264,0.260544,13.2218
265,0.259323,13.2188
266,0.258106,13.2159
267,0.256892,13.2128
268,0.255682,13.2097
269,0.254477,13.2066
270,0.253275,13.2035
271,0.252077,13.2002
272,0.250883,13.197
273,0.249693,13.1937
274,0.248507,13.1904
275,0.247325,13.187
276,0.246147,13.1836
277,0.244972,13.1802
278,0.243802,13.1767
279,0.242635,13.1732
280,0.241473,13.1697
281,0.240314,13.1662
282,0.239159,13.1626
283,0.238009,13.159
284,0.236862,13.1553
285,0.235719,13.1517
286,0.23458,13.148
287,0.233445,13.1443
288,0.232314,13.1405
289,0.231187,13.1368
290,0.230063,13.133
291,0.228944,13.1292
292,0.227829,13.1254
293,0.226717,13.1216
294,0.22561,13.1177
295,0.224506,13.1139
296,0.223407,13.11
297,0.222311,13.1061
298,0.221219,13.1022
299,0.220132,13.0983
300,0.219048,13.0943
301,0.217968,13.0904
302,0.216892,13.0864
303,0.21582,13.0825
304,0.214752,13.0785
305,0.213688,13.0745
306,0.212628,13.0705
307,0.211572,13.0665
308,0.210519,13.0625
309,0.209471,13.0585
310,0.208427,13.0545
311,0.207386,13.0504
312,0.20635,13.0464
313,0.205317,13.0424
314,0.204288,13.0383
315,0.203264,13.0343
316,0.202243,13.0302
317,0.201226,13.0262
318,0.200213,13.0222
319,0.199204,13.0181
320,0.198199,13.0141
321,0.197198,13.01
322,0.196201,13.006
323,0.195208,13.0019
324,0.194218,12.9979
325,0.193233,12.9938
326,0.192251,12.9898
327,0.191274,12.9857
328,0.1903,12.9817
329,0.18933,12.9776
330,0.188364,12.9736
331,0.187402,12.9696
332,0.186444,12.9656
333,0.18549,12.9615
334,0.18454,12.9575
335,0.183593,12.9535
336,0.182651,12.9495
337,0.181712,12.9455
338,0.180777,12.9415
339,0.179846,12.9375
340,0.178919,12.9335
341,0.177996,12.9296
342,0.177077,12.9256
343,0.176161,12.9216
344,0.175249,12.9177
345,0.174342,12.9137
346,0.173438,12.9098
347,0.172537,12.9059
348,0.171641,12.902
349,0.170749,12.898
350,0.16986,12.8941
351,0.168975,12.8903
352,0.168094,12.8864
353,0.167217,12.8825
354,0.166343,12.8786
355,0.165473,12.8748
356,0.164607,12.8709
357,0.163745,12.8671
358,0.162887,12.8633
359,0.162032,12.8595
360,0.161181,12.8557
361,0.160334,12.8519
362,0.159491,12.8481
363,0.158651,12.8444
364,0.157815,12.8406
365,0.156983,12.8369
366,0.156154,12.8331
367,0.155329,12.8294
368,0.154508,12.8257
369,0.153691,12.822
370,0.152877,12.8183
371,0.152067,12.8147
372,0.151261,12.811
373,0.150458,12.8074
374,0.149659,12.8037
375,0.148864,12.8001
376,0.148072,12.7965
377,0.147284,12.7929
378,0.146499,12.7893
379,0.145718,12.7858
380,0.144941,12.7822
381,0.144167,12.7787
382,0.143397,12.7752
383,0.14263,12.7717
384,0.141867,12.7682
385,0.141108,12.7647
386,0.140352,12.7612
387,0.1396,12.7578
388,0.138851,12.7543
389,0.138105,12.7509
390,0.137364,12.7475
391,0.136625,12.7441
392,0.135891,12.7407
393,0.135159,12.7373
394,0.134432,12.734
395,0.133707,12.7306
396,0.132986,12.7273
397,0.132269,12.724
398,0.131555,12.7207
399,0.130844,12.7174
400,0.130137,12.7141
401,0.129433,12.7109
402,0.128733,12.7076
403,0.128036,12.7044
404,0.127343,12.7012
405,0.126652,12.698
406,0.125966,12.6948
407,0.125282,12.6917
408,0.124602,12.6885
409,0.123925,12.6854
410,0.123252,12.6823
411,0.122582,12.6791
412,0.121915,12.6761
413,0.121251,12.673
414,0.120591,12.6699
415,0.119934,12.6669
416,0.11928,12.6638
417,0.118629,12.6608
418,0.117982,12.6578
419,0.117338,12.6548
420,0.116697,12.6518
421,0.11606,12.6489
422,0.115425,12.6459
423,0.114794,12.643
424,0.114166,12.6401
425,0.113541,12.6372
426,0.112919,12.6343
427,0.1123,12.6314
428,0.111685,12.6286
429,0.111073,12.6257
430,0.110463,12.6229
431,0.109857,12.6201
432,0.109254,12.6173
433,0.108654,12.6145
434,0.108057,12.6117
435,0.107463,12.6089
436,0.106872,12.6062
437,0.106284,12.6035
438,0.105699,12.6008
439,0.105118,12.5981
440,0.104539,12.5954
441,0.103963,12.5927
442,0.10339,12.5901
443,0.10282,12.5874
444,0.102253,12.5848
445,0.101689,12.5822
446,0.101128,12.5796
447,0.10057,12.577
448,0.100015,12.5744
449,0.0994623,12.5719
450,0.0989128,12.5693
451,0.0983662,12.5668
452,0.0978224,12.5643
453,0.0972815,12.5618
454,0.0967434,12.5593
455,0.0962082,12.5568
456,0.0956758,12.5543
457,0.0951461,12.5519
458,0.0946193,12.5495
459,0.0940953,12.547
460,0.093574,12.5446
461,0.0930555,12.5422
462,0.0925397,12.5399
463,0.0920267,12.5375
464,0.0915163,12.5352
465,0.0910088,12.5328
466,0.0905039,12.5305
467,0.0900017,12.5282
468,0.0895021,12.5259
469,0.0890053,12.5236
470,0.0885111,12.5213
471,0.0880195,12.5191
472,0.0875306,12.5168
473,0.0870443,12.5146
474,0.0865606,12.5124
475,0.0860795,12.5102
476,0.085601,12.508
477,0.0851251,12.5058
478,0.0846517,12.5036
479,0.084181,12.5015
480,0.0837127,12.4993
481,0.083247,12.4972
482,0.0827838,12.4951
483,0.0823231,12.493
484,0.0818649,12.4909
485,0.0814092,12.4888
486,0.080956,12.4867
487,0.0805052,12.4847
488,0.0800569,12.4826
489,0.0796111,12.4806
490,0.0791676,12.4786
491,0.0787266,12.4766
492,0.078288,12.4746
493,0.0778518,12.4726
494,0.077418,12.4706
495,0.0769866,12.4687
496,0.0765575,12.4667
497,0.0761308,12.4648
498,0.0757064,12.4629
499,0.0752844,12.461
500,0.0748647,12.4591
501,0.0744473,12.4572
502,0.0740322,12.4553
503,0.0736194,12.4534
504,0.0732089,12.4516
505,0.0728006,12.4497
506,0.0723946,12.4479
507,0.0719909,12.4461
508,0.0715894,12.4443
509,0.0711901,12.4425
510,0.070793,12.4407
511,0.0703981,12.4389
512,0.0700055,12.4372
513,0.069615,12.4354
514,0.0692267,12.4337
515,0.0688405,12.432
516,0.0684565,12.4302
517,0.0680746,12.4285
518,0.0676949,12.4268
519,0.0673173,12.4251
520,0.0669418,12.4235
521,0.0665684,12.4218
522,0.0661971,12.4201
523,0.0658278,12.4185
524,0.0654607,12.4169
525,0.0650956,12.4152
526,0.0647325,12.4136
527,0.0643715,12.412
528,0.0640125,12.4104
529,0.0636555,12.4089
530,0.0633006,12.4073
531,0.0629476,12.4057
532,0.0625966,12.4042
533,0.0622476,12.4026
534,0.0619006,12.4011
535,0.0615555,12.3996
536,0.0612124,12.3981
537,0.0608712,12.3966
538,0.0605319,12.3951
539,0.0601946,12.3936
540,0.0598591,12.3921
541,0.0595256,12.3906
542,0.0591939,12.3892
543,0.0588642,12.3877
544,0.0585362,12.3863
545,0.0582102,12.3849
546,0.057886,12.3835
547,0.0575637,12.3821
548,0.0572431,12.3807
549,0.0569244,12.3793
550,0.0566076,12.3779
551,0.0562925,12.3765
552,0.0559792,12.3752
553,0.0556677,12.3738
554,0.0553579,12.3725
555,0.05505,12.3711
556,0.0547438,12.3698
557,0.0544393,12.3685
558,0.0541366,12.3672
559,0.0538356,12.3659
560,0.0535363,12.3646
561,0.0532387,12.3633
562,0.0529429,12.362
563,0.0526487,12.3608
564,0.0523562,12.3595
565,0.0520654,12.3583
566,0.0517762,12.357
567,0.0514887,12.3558
568,0.0512029,12.3546
569,0.0509187,12.3533
570,0.0506361,12.3521
571,0.0503552,12.3509
572,0.0500758,12.3497
573,0.0497981,12.3486
574,0.0495219,12.3474
575,0.0492474,12.3462
576,0.0489744,12.3451
577,0.048703,12.3439
578,0.0484331,12.3428
579,0.0481648,12.3416
580,0.0478981,12.3405
581,0.0476329,12.3394
582,0.0473692,12.3383
583,0.047107,12.3372
584,0.0468463,12.3361
585,0.0465872,12.335
586,0.0463295,12.3339
587,0.0460733,12.3328
588,0.0458186,12.3317
589,0.0455654,12.3307
590,0.0453136,12.3296
591,0.0450633,12.3286
592,0.0448145,12.3275
593,0.044567,12.3265
594,0.044321,12.3255
595,0.0440764,12.3245
596,0.0438333,12.3234
597,0.0435915,12.3224
598,0.0433512,12.3214
599,0.0431122,12.3204
