Time,TMin,TMax,VMin,VMax,NMin,NMax
0,0.000697451,0.259569,0.489299,0.5,1.83089e-12,0.0114357
1,0.00291296,0.174946,0.483843,0.499985,1.49449e-05,0.0174974
2,0.00701673,0.141545,0.480202,0.499923,7.73883e-05,0.0216488
3,0.0128739,0.129477,0.477301,0.499772,0.000227848,0.0250137
4,0.0200638,0.128961,0.474723,0.499496,0.000503947,0.0280341
5,0.0281025,0.129772,0.472303,0.499065,0.000934219,0.0308875
6,0.0365721,0.129458,0.469953,0.498462,0.00153671,0.0336645
7,0.0451646,0.128864,0.467637,0.497678,0.00232033,0.036408
8,0.0536779,0.128409,0.465329,0.496709,0.00328724,0.0391467
9,0.0619935,0.128291,0.463014,0.49556,0.00443513,0.0418994
10,0.0700513,0.12859,0.460679,0.494234,0.00575897,0.0446796
11,0.077829,0.129326,0.458316,0.492738,0.00725234,0.0474978
12,0.0853271,0.130492,0.455918,0.491079,0.00890827,0.0503682
13,0.0925592,0.132062,0.453478,0.489264,0.0107197,0.0532932
14,0.099545,0.134007,0.450985,0.487301,0.0126797,0.0562766
15,0.106307,0.136294,0.448443,0.485196,0.0147818,0.0593237
16,0.112867,0.138892,0.445847,0.482955,0.0170198,0.062439
17,0.119246,0.141769,0.443195,0.480584,0.0193883,0.0656262
18,0.125464,0.144896,0.440484,0.478088,0.0218817,0.0688887
19,0.131538,0.148245,0.437712,0.475473,0.0244952,0.072229
20,0.137483,0.15179,0.434878,0.472743,0.0272243,0.0756494
21,0.143312,0.155508,0.43198,0.469902,0.0300646,0.0791513
22,0.149035,0.159374,0.429018,0.466956,0.033012,0.0827361
23,0.154662,0.16337,0.425991,0.463908,0.0360626,0.0864045
24,0.1602,0.167474,0.4229,0.460762,0.0392126,0.0901569
25,0.165655,0.171669,0.419745,0.457521,0.0424586,0.0939933
26,0.171031,0.175938,0.416526,0.45419,0.0457969,0.0979133
27,0.176331,0.180266,0.413245,0.450773,0.0492241,0.101916
28,0.181558,0.184637,0.409903,0.447272,0.0527368,0.106002
29,0.186714,0.189039,0.406501,0.443691,0.0563317,0.110168
30,0.191798,0.193458,0.40304,0.440035,0.0600054,0.114413
31,0.196811,0.197884,0.399523,0.436306,0.0637546,0.118736
32,0.201753,0.202305,0.395952,0.432507,0.067576,0.123135
33,0.206284,0.206713,0.392329,0.428643,0.0714662,0.127608
34,0.210751,0.211426,0.388656,0.424718,0.075422,0.132152
35,0.215164,0.216137,0.384936,0.420733,0.07944,0.136765
36,0.219523,0.22078,0.381171,0.416694,0.0835169,0.141445
37,0.223825,0.225345,0.377364,0.412604,0.0876493,0.146189
38,0.228066,0.22983,0.373518,0.408466,0.0918339,0.150994
39,0.232242,0.234232,0.369635,0.404283,0.0960673,0.155857
40,0.236351,0.238551,0.365718,0.40006,0.100346,0.160775
41,0.240387,0.242783,0.361771,0.3958,0.104667,0.165746
42,0.244349,0.246929,0.357796,0.391506,0.109027,0.170766
43,0.248234,0.250986,0.353796,0.387182,0.113423,0.175832
44,0.252037,0.254952,0.349775,0.382831,0.117851,0.180942
45,0.255757,0.258827,0.345734,0.378457,0.122308,0.186092
46,0.259392,0.26261,0.341677,0.374063,0.126791,0.191279
47,0.26294,0.266299,0.337607,0.369652,0.131297,0.196501
48,0.266398,0.269894,0.333526,0.365227,0.135823,0.201754
49,0.269767,0.273394,0.329438,0.360793,0.140365,0.207035
