Time,TMin,TMax,VMin,VMax,NMin,NMax
84,0.334836,0.342635,0.176044,0.194732,0.317548,0.426022
85,0.334809,0.342659,0.173201,0.191611,0.32109,0.430681
86,0.33474,0.342639,0.170401,0.188538,0.324591,0.435304
87,0.334631,0.342576,0.167644,0.185511,0.32805,0.439891
88,0.334482,0.342472,0.164928,0.182531,0.33147,0.444442
89,0.334294,0.342326,0.162254,0.179597,0.334848,0.448958
90,0.334069,0.342141,0.159622,0.176708,0.338186,0.453437
91,0.333808,0.341918,0.157031,0.173865,0.341485,0.457881
92,0.333511,0.341657,0.154481,0.171067,0.344743,0.46229
93,0.33318,0.341361,0.151972,0.168314,0.347962,0.466663
94,0.332817,0.341029,0.149502,0.165604,0.351141,0.471
95,0.332421,0.340664,0.147072,0.162939,0.354281,0.475303
96,0.331994,0.340265,0.144682,0.160316,0.357383,0.47957
97,0.331537,0.339834,0.14233,0.157737,0.360447,0.483802
98,0.33105,0.339373,0.140017,0.1552,0.363472,0.488
99,0.330535,0.338881,0.137741,0.152705,0.36646,0.492164
100,0.329993,0.33836,0.135504,0.150251,0.369411,0.496293
101,0.329424,0.337811,0.133303,0.147838,0.372325,0.500387
102,0.32883,0.337235,0.131139,0.145466,0.375202,0.504449
103,0.32821,0.336631,0.129011,0.143133,0.378043,0.508476
104,0.327567,0.336003,0.126919,0.14084,0.380849,0.51247
105,0.3269,0.335349,0.124863,0.138586,0.383619,0.516432
106,0.32621,0.334671,0.122841,0.13637,0.386355,0.52036
107,0.325499,0.33397,0.120853,0.134191,0.389056,0.524256
108,0.324766,0.333246,0.118899,0.132051,0.391723,0.528119
109,0.324013,0.3325,0.116979,0.129946,0.394356,0.531951
110,0.32324,0.331733,0.115091,0.127879,0.396956,0.535751
111,0.322448,0.330946,0.113236,0.125846,0.399524,0.539519
112,0.321638,0.330138,0.111413,0.123849,0.402059,0.543257
113,0.320809,0.329312,0.109621,0.121887,0.404562,0.546963
114,0.319964,0.328467,0.10786,0.119959,0.407033,0.550639
115,0.319102,0.327604,0.10613,0.118064,0.409474,0.554285
116,0.318223,0.326724,0.104429,0.116203,0.411884,0.557901
117,0.31733,0.325827,0.102758,0.114374,0.414263,0.561487
118,0.316421,0.324914,0.101117,0.112577,0.416613,0.565044
119,0.315498,0.323985,0.0995036,0.110811,0.418934,0.568572
120,0.31456,0.323041,0.0979187,0.109077,0.421225,0.572071
121,0.31361,0.322083,0.0963615,0.107373,0.423488,0.575542
122,0.312646,0.32111,0.0948315,0.105699,0.425723,0.578984
123,0.31167,0.320124,0.0933284,0.104054,0.42793,0.582399
124,0.310682,0.319125,0.0918516,0.102439,0.430109,0.585786
125,0.309683,0.318114,0.0904008,0.100852,0.432262,0.589146
126,0.308672,0.31709,0.0889754,0.0992931,0.434388,0.592479
127,0.307651,0.316055,0.0875751,0.0977617,0.436488,0.595785
128,0.306619,0.315009,0.0861995,0.0962575,0.438562,0.599065
129,0.305578,0.313952,0.084848,0.0947798,0.440611,0.602319
130,0.304527,0.312884,0.0835204,0.0933283,0.442635,0.605548
131,0.303467,0.311807,0.0822161,0.0919025,0.444634,0.60875
132,0.302398,0.31072,0.0809348,0.0905019,0.446609,0.611928
133,0.301321,0.309624,0.0796761,0.0891262,0.44856,0.61508
134,0.300236,0.308519,0.0784396,0.0877748,0.450488,0.618208
135,0.299143,0.307405,0.0772249,0.0864473,0.452393,0.621311
136,0.298042,0.306284,0.0760315,0.0851433,0.454274,0.624391
137,0.296935,0.305155,0.0748592,0.0838624,0.456133,0.627446
138,0.295821,0.304018,0.0737076,0.0826042,0.457971,0.630479
139,0.294701,0.302874,0.0725762,0.0813682,0.459786,0.633489
140,0.293574,0.301724,0.0714648,0.0801541,0.46158,0.636476
141,0.292442,0.300567,0.0703729,0.0789614,0.463353,0.63944
142,0.291304,0.299404,0.0693002,0.0777898,0.465105,0.642381
143,0.290161,0.298236,0.0682464,0.0766389,0.466836,0.6453
144,0.289013,0.297061,0.0672111,0.0755082,0.468548,0.648197
145,0.28786,0.295882,0.0661939,0.0743975,0.47024,0.651072
146,0.286703,0.294697,0.0651947,0.0733064,0.471912,0.653925
147,0.285542,0.293508,0.0642129,0.0722344,0.473565,0.656757
148,0.284376,0.292315,0.0632483,0.0711813,0.475199,0.659568
149,0.283207,0.291117,0.0623007,0.0701467,0.476814,0.662359
150,0.282034,0.289915,0.0613696,0.0691303,0.478412,0.665128
151,0.280858,0.28871,0.0604548,0.0681317,0.479991,0.667877
152,0.279679,0.287501,0.059556,0.0671505,0.481552,0.670606
153,0.278497,0.286289,0.0586728,0.0661865,0.483096,0.673315
154,0.277312,0.285073,0.057805,0.0652394,0.484623,0.676004
155,0.276125,0.283855,0.0569524,0.0643088,0.486132,0.678674
156,0.274936,0.282635,0.0561145,0.0633944,0.487626,0.681324
157,0.273744,0.281412,0.0552912,0.0624959,0.489102,0.683956
158,0.272551,0.280187,0.0544822,0.061613,0.490563,0.686568
159,0.271356,0.278959,0.0536873,0.0607454,0.492007,0.689161
160,0.270159,0.27773,0.052906,0.0598929,0.493436,0.691736
161,0.268961,0.2765,0.0521383,0.0590551,0.49485,0.694293
162,0.267762,0.275268,0.0513838,0.0582318,0.496248,0.696832
163,0.266562,0.274035,0.0506423,0.0574227,0.497631,0.699352
164,0.265361,0.2728,0.0499136,0.0566276,0.499,0.701855
165,0.264159,0.271565,0.0491974,0.0558461,0.500354,0.70434
166,0.262956,0.270329,0.0484934,0.055078,0.501693,0.706808
167,0.261754,0.269092,0.0478016,0.0543231,0.503019,0.709259
168,0.26055,0.267855,0.0471216,0.0535811,0.504331,0.711692
169,0.259347,0.266618,0.0464531,0.0528518,0.505629,0.714109
170,0.258144,0.26538,0.0457961,0.0521349,0.506914,0.716509
171,0.256941,0.264143,0.0451503,0.0514302,0.508185,0.718893
172,0.255738,0.262906,0.0445154,0.0507375,0.509443,0.72126
173,0.254535,0.261669,0.0438914,0.0500565,0.510689,0.723611
174,0.253333,0.260432,0.0432778,0.0493871,0.511922,0.725945
175,0.252132,0.259196,0.0426747,0.048729,0.513142,0.728264
176,0.250931,0.25796,0.0420817,0.0480819,0.51435,0.730567
177,0.249731,0.256726,0.0414988,0.0474458,0.515546,0.732855
178,0.248532,0.255492,0.0409256,0.0468203,0.51673,0.735127
179,0.247335,0.254259,0.040362,0.0462053,0.517902,0.737384
180,0.246138,0.253027,0.0398079,0.0456006,0.519063,0.739625
181,0.244942,0.251797,0.0392631,0.045006,0.520212,0.741852
