Time,TMin,TMax,VMin,VMax,NMin,NMax
81,0.295454,0.297473,0.285635,0.30246,0.201063,0.264894
82,0.298052,0.300116,0.281703,0.298347,0.205382,0.270225
83,0.300561,0.30267,0.277788,0.294251,0.209692,0.275559
84,0.302984,0.305137,0.273891,0.290173,0.213991,0.280893
85,0.30532,0.307516,0.270014,0.286116,0.218277,0.286225
86,0.307571,0.30981,0.266159,0.282081,0.222548,0.291553
87,0.309738,0.312019,0.262327,0.278071,0.226803,0.296875
88,0.311821,0.314144,0.25852,0.274086,0.23104,0.30219
89,0.313823,0.316187,0.254739,0.270128,0.235258,0.307495
90,0.315743,0.318148,0.250986,0.266199,0.239454,0.312789
91,0.317584,0.320029,0.247262,0.262301,0.243628,0.318071
92,0.319347,0.321831,0.243568,0.258433,0.247778,0.323339
93,0.321033,0.323556,0.239905,0.254598,0.251904,0.328591
94,0.322644,0.325204,0.236275,0.250797,0.256004,0.333827
95,0.32418,0.326778,0.232678,0.247031,0.260076,0.339044
96,0.325644,0.328278,0.229116,0.2433,0.264121,0.344242
97,0.327036,0.329705,0.225588,0.239606,0.268136,0.349419
98,0.328359,0.331063,0.222097,0.235949,0.272122,0.354575
99,0.329613,0.332351,0.218642,0.23233,0.276076,0.359709
100,0.3308,0.333571,0.215224,0.22875,0.28,0.364818
101,0.331922,0.334725,0.211844,0.22521,0.283892,0.369904
102,0.33298,0.335815,0.208502,0.221709,0.28775,0.374964
103,0.333975,0.33684,0.205199,0.218249,0.291576,0.379998
104,0.334909,0.337804,0.201936,0.21483,0.295368,0.385006
105,0.335783,0.338707,0.198711,0.211452,0.299126,0.389986
106,0.336598,0.339551,0.195527,0.208116,0.302849,0.394939
107,0.337357,0.340336,0.192383,0.204822,0.306537,0.399863
108,0.33806,0.341066,0.189279,0.201569,0.31019,0.404758
109,0.338709,0.34174,0.186215,0.198359,0.313807,0.409624
110,0.339305,0.34236,0.183192,0.195192,0.317389,0.414459
111,0.339849,0.342928,0.18021,0.192067,0.320935,0.419265
112,0.340343,0.343444,0.177268,0.188984,0.324445,0.42404
113,0.340787,0.343911,0.174367,0.185944,0.327918,0.428785
114,0.341184,0.344329,0.171507,0.182946,0.331356,0.433498
115,0.341534,0.344699,0.168687,0.179991,0.334757,0.43818
116,0.341839,0.345023,0.165907,0.177077,0.338122,0.442831
117,0.3421,0.345302,0.163168,0.174207,0.341451,0.44745
118,0.342317,0.345537,0.160469,0.171378,0.344743,0.452037
119,0.342493,0.345729,0.15781,0.168591,0.348,0.456593
120,0.342627,0.34588,0.155191,0.165846,0.35122,0.461117
121,0.342722,0.345989,0.152612,0.163142,0.354405,0.465608
122,0.342778,0.34606,0.150072,0.160479,0.357554,0.470068
123,0.342797,0.346091,0.147571,0.157857,0.360667,0.474497
124,0.342779,0.346086,0.145108,0.155275,0.363745,0.478893
125,0.342725,0.346043,0.142685,0.152734,0.366788,0.483257
126,0.342636,0.345966,0.140299,0.150233,0.369796,0.48759
127,0.342514,0.345853,0.137951,0.147771,0.37277,0.491891
128,0.342358,0.345708,0.135641,0.145349,0.375709,0.49616
129,0.342171,0.345529,0.133368,0.142965,0.378613,0.500398
130,0.341953,0.345319,0.131131,0.14062,0.381484,0.504605
131,0.341704,0.345077,0.128931,0.138313,0.384321,0.50878
132,0.341426,0.344806,0.126767,0.136043,0.387125,0.512925
133,0.34112,0.344505,0.124639,0.133811,0.389896,0.517039
134,0.340786,0.344176,0.122545,0.131615,0.392635,0.521122
135,0.340424,0.343819,0.120487,0.129456,0.395341,0.525174
136,0.340037,0.343435,0.118463,0.127332,0.398014,0.529197
137,0.339624,0.343025,0.116473,0.125245,0.400657,0.533189
138,0.339186,0.342589,0.114516,0.123192,0.403267,0.537152
139,0.338724,0.342129,0.112592,0.121174,0.405847,0.541084
140,0.338239,0.341645,0.110701,0.11919,0.408396,0.544988
141,0.337731,0.341137,0.108843,0.117239,0.410915,0.548862
142,0.337201,0.340607,0.107016,0.115322,0.413404,0.552708
143,0.336649,0.340055,0.10522,0.113438,0.415864,0.556524
144,0.336076,0.339481,0.103455,0.111586,0.418294,0.560313
145,0.335484,0.338887,0.101721,0.109765,0.420695,0.564073
146,0.334871,0.338272,0.100017,0.107977,0.423068,0.567805
147,0.33424,0.337638,0.0983422,0.106219,0.425413,0.57151
148,0.333589,0.336984,0.0966968,0.104491,0.42773,0.575187
149,0.332921,0.336312,0.09508,0.102794,0.430019,0.578837
150,0.332236,0.335622,0.0934915,0.101126,0.432281,0.58246
151,0.331533,0.334915,0.0919308,0.0994867,0.434517,0.586057
152,0.330814,0.334191,0.0903976,0.0978765,0.436727,0.589627
153,0.330079,0.33345,0.0888913,0.0962944,0.43891,0.593171
154,0.329329,0.332694,0.0874116,0.0947401,0.441068,0.596689
155,0.328563,0.331922,0.085958,0.093213,0.443201,0.600182
156,0.327783,0.331135,0.0845301,0.0917129,0.445309,0.603649
157,0.326989,0.330333,0.0831275,0.0902391,0.447392,0.607092
158,0.326181,0.329518,0.0817498,0.0887913,0.449451,0.610509
159,0.325359,0.328688,0.0803966,0.0873691,0.451486,0.613902
160,0.324525,0.327846,0.0790674,0.085972,0.453498,0.617271
161,0.323679,0.326991,0.0777619,0.0845997,0.455487,0.620616
162,0.32282,0.326123,0.0764797,0.0832516,0.457452,0.623937
163,0.321949,0.325243,0.0752203,0.0819274,0.459396,0.627235
164,0.321068,0.324352,0.0739834,0.0806266,0.461317,0.630509
165,0.320175,0.323449,0.0727687,0.079349,0.463216,0.633761
166,0.319271,0.322535,0.0715756,0.078094,0.465094,0.63699
167,0.318358,0.321611,0.0704039,0.0768613,0.466951,0.640196
168,0.317434,0.320677,0.0692531,0.0756505,0.468787,0.64338
169,0.316501,0.319732,0.068123,0.0744612,0.470602,0.646542
170,0.315558,0.318779,0.0670131,0.0732931,0.472397,0.649682
171,0.314607,0.317816,0.0659231,0.0721457,0.474172,0.652801
172,0.313646,0.316844,0.0648526,0.0710187,0.475928,0.655898
173,0.312678,0.315863,0.0638014,0.0699117,0.477664,0.658975
174,0.311701,0.314874,0.0627689,0.0688245,0.479381,0.66203
175,0.310716,0.313877,0.061755,0.0677565,0.48108,0.665065
176,0.309724,0.312873,0.0607593,0.0667075,0.48276,0.66808
177,0.308725,0.311861,0.0597814,0.0656771,0.484421,0.671074
178,0.307718,0.310842,0.0588211,0.0646651,0.486065,0.674049
179,0.306705,0.309816,0.057878,0.063671,0.487691,0.677004
180,0.305685,0.308783,0.0569517,0.0626945,0.4893,0.679939
181,0.304659,0.307744,0.0560421,0.0617354,0.490892,0.682855
182,0.303627,0.306698,0.0551488,0.0607933,0.492467,0.685752
183,0.30259,0.305647,0.0542714,0.0598679,0.494025,0.68863
184,0.301546,0.30459,0.0534098,0.0589588,0.495567,0.69149
185,0.300498,0.303528,0.0525636,0.0580658,0.497093,0.69433
186,0.299444,0.30246,0.0517325,0.0571887,0.498604,0.697153
187,0.298386,0.301388,0.0509162,0.056327,0.500098,0.699958
188,0.297322,0.30031,0.0501146,0.0554805,0.501577,0.702744
189,0.296254,0.299229,0.0493272,0.054649,0.503041,0.705513
190,0.295182,0.298142,0.0485539,0.0538321,0.50449,0.708265
191,0.294106,0.297052,0.0477944,0.0530296,0.505925,0.710999
192,0.293026,0.295958,0.0470484,0.0522412,0.507345,0.713715
193,0.291942,0.294859,0.0463156,0.0514667,0.508751,0.716415
194,0.290855,0.293758,0.0455959,0.0507058,0.510143,0.719098
195,0.289765,0.292653,0.044889,0.0499582,0.511521,0.721765
196,0.288671,0.291544,0.0441946,0.0492237,0.512885,0.724415
197,0.287574,0.290433,0.0435126,0.048502,0.514236,0.727048
198,0.286474,0.289319,0.0428426,0.047793,0.515574,0.729666
199,0.285372,0.288202,0.0421844,0.0470963,0.516899,0.732267
200,0.284267,0.287082,0.0415379,0.0464118,0.518211,0.734853
201,0.28316,0.28596,0.0409029,0.0457392,0.51951,0.737422
202,0.28205,0.284836,0.040279,0.0450783,0.520797,0.739977
203,0.280939,0.28371,0.0396661,0.0444288,0.522072,0.742516
204,0.279826,0.282582,0.039064,0.0437906,0.523335,0.745039
205,0.27871,0.281452,0.0384724,0.0431635,0.524586,0.747548
206,0.277594,0.280321,0.0378913,0.0425472,0.525825,0.750042
207,0.276475,0.279188,0.0373203,0.0419415,0.527052,0.75252
208,0.275356,0.278053,0.0367593,0.0413463,0.528268,0.754985
209,0.274235,0.276918,0.0362082,0.0407613,0.529473,0.757434
210,0.273113,0.275781,0.0356666,0.0401864,0.530667,0.759869
211,0.27199,0.274643,0.0351345,0.0396213,0.53185,0.76229
212,0.270866,0.273505,0.0346117,0.0390659,0.533023,0.764697
213,0.269741,0.272365,0.034098,0.03852,0.534184,0.76709
214,0.268616,0.271226,0.0335931,0.0379834,0.535335,0.769469
215,0.267491,0.270085,0.0330971,0.0374559,0.536476,0.771834
216,0.266364,0.268945,0.0326096,0.0369374,0.537607,0.774185
217,0.265238,0.267804,0.0321305,0.0364278,0.538728,0.776523
218,0.264111,0.266663,0.0316597,0.0359267,0.539839,0.778847
219,0.262985,0.265522,0.031197,0.0354342,0.54094,0.781159
220,0.261858,0.264381,0.0307423,0.0349499,0.542032,0.783457
221,0.260732,0.26324,0.0302954,0.0344738,0.543114,0.785741
222,0.259605,0.262099,0.0298561,0.0340057,0.544187,0.788013
223,0.258479,0.260959,0.0294244,0.0335455,0.545251,0.790272
224,0.257354,0.259819,0.029,0.033093,0.546305,0.792519
225,0.256229,0.25868,0.0285829,0.0326481,0.547351,0.794752
226,0.255104,0.257541,0.0281729,0.0322106,0.548388,0.796973
227,0.253981,0.256403,0.0277698,0.0317804,0.549416,0.799182
228,0.252858,0.255266,0.0273736,0.0313573,0.550435,0.801378
229,0.251735,0.25413,0.0269841,0.0309413,0.551446,0.803562
230,0.250614,0.252995,0.0266012,0.0305321,0.552449,0.805734
231,0.249494,0.251861,0.0262248,0.0301297,0.553443,0.807894
232,0.248375,0.250728,0.0258546,0.029734,0.554429,0.810042
233,0.247257,0.249596,0.0254908,0.0293448,0.555407,0.812178
234,0.24614,0.248465,0.025133,0.0289619,0.556378,0.814302
235,0.245025,0.247336,0.0247812,0.0285854,0.55734,0.816414
236,0.243911,0.246209,0.0244353,0.028215,0.558295,0.818515
237,0.242798,0.245083,0.0240952,0.0278506,0.559241,0.820604
238,0.241687,0.243958,0.0237607,0.0274922,0.560181,0.822682
239,0.240577,0.242835,0.0234319,0.0271396,0.561113,0.824748
240,0.23947,0.241714,0.0231084,0.0267927,0.562037,0.826804
241,0.238363,0.240595,0.0227903,0.0264514,0.562955,0.828848
242,0.237259,0.239477,0.0224775,0.0261157,0.563865,0.83088
243,0.236157,0.238361,0.0221699,0.0257853,0.564768,0.832902
244,0.235056,0.237248,0.0218673,0.0254603,0.565664,0.834913
245,0.233957,0.236136,0.0215696,0.0251405,0.566553,0.836913
246,0.232861,0.235026,0.0212769,0.0248258,0.567435,0.838902
247,0.231766,0.233919,0.020989,0.0245161,0.56831,0.840881
248,0.230673,0.232814,0.0207057,0.0242114,0.569179,0.842848
249,0.229583,0.231711,0.0204271,0.0239115,0.570041,0.844806
250,0.228495,0.23061,0.020153,0.0236163,0.570897,0.846752
251,0.227409,0.229511,0.0198833,0.0233258,0.571746,0.848688
252,0.226326,0.228415,0.019618,0.0230399,0.572589,0.850614
253,0.225245,0.227322,0.0193571,0.0227585,0.573425,0.852529
254,0.224166,0.226231,0.0191003,0.0224816,0.574255,0.854435
255,0.22309,0.225142,0.0188476,0.0222089,0.575079,0.85633
256,0.222016,0.224056,0.018599,0.0219406,0.575897,0.858215
257,0.220945,0.222973,0.0183544,0.0216764,0.576709,0.860089
258,0.219876,0.221892,0.0181137,0.0214163,0.577515,0.861954
259,0.21881,0.220814,0.0178768,0.0211603,0.578315,0.863809
260,0.217747,0.219739,0.0176438,0.0209082,0.57911,0.865654
261,0.216686,0.218666,0.0174144,0.02066,0.579898,0.86749
262,0.215628,0.217596,0.0171886,0.0204157,0.580681,0.869315
263,0.214573,0.21653,0.0169664,0.0201751,0.581458,0.871131
264,0.21352,0.215466,0.0167478,0.0199382,0.58223,0.872937
265,0.212471,0.214405,0.0165325,0.0197049,0.582996,0.874734
266,0.211424,0.213346,0.0163207,0.0194752,0.583757,0.876521
267,0.210381,0.212291,0.0161122,0.019249,0.584512,0.878298
268,0.20934,0.211239,0.0159069,0.0190262,0.585262,0.880067
269,0.208302,0.21019,0.0157048,0.0188067,0.586007,0.881826
270,0.207268,0.209144,0.0155059,0.0185906,0.586746,0.883575
271,0.206236,0.208101,0.0153101,0.0183778,0.58748,0.885316
272,0.205207,0.207062,0.0151173,0.0181681,0.588209,0.887047
273,0.204182,0.206025,0.0149275,0.0179616,0.588933,0.888769
274,0.203159,0.204992,0.0147406,0.0177582,0.589652,0.890482
275,0.20214,0.203961,0.0145566,0.0175578,0.590367,0.892186
276,0.201124,0.202935,0.0143754,0.0173604,0.591076,0.893881
277,0.200111,0.201911,0.014197,0.017166,0.59178,0.895567
278,0.199101,0.20089,0.0140213,0.0169744,0.592479,0.897244
279,0.198095,0.199873,0.0138483,0.0167856,0.593174,0.898913
280,0.197091,0.19886,0.013678,0.0165996,0.593864,0.900572
281,0.196091,0.197849,0.0135102,0.0164164,0.594549,0.902223
282,0.195095,0.196842,0.013345,0.0162358,0.59523,0.903865
283,0.194102,0.195839,0.0131822,0.0160579,0.595906,0.905499
284,0.193112,0.194838,0.0130219,0.0158825,0.596577,0.907124
285,0.192125,0.193842,0.0128641,0.0157097,0.597244,0.90874
286,0.191142,0.192848,0.0127085,0.0155395,0.597907,0.910348
287,0.190162,0.191858,0.0125554,0.0153716,0.598565,0.911948
288,0.189186,0.190872,0.0124045,0.0152062,0.599218,0.913539
289,0.188213,0.189889,0.0122558,0.0150432,0.599868,0.915122
290,0.187243,0.18891,0.0121094,0.0148825,0.600513,0.916696
291,0.186277,0.187934,0.0119651,0.0147241,0.601154,0.918263
292,0.185314,0.186962,0.011823,0.014568,0.60179,0.919821
293,0.184355,0.185993,0.0116829,0.0144141,0.602423,0.92137
294,0.1834,0.185028,0.011545,0.0142624,0.603051,0.922912
295,0.182447,0.184066,0.011409,0.0141128,0.603675,0.924446
296,0.181499,0.183108,0.011275,0.0139654,0.604295,0.925971
297,0.180554,0.182153,0.011143,0.01382,0.604911,0.927489
298,0.179612,0.181203,0.0110129,0.0136766,0.605523,0.928998
299,0.178674,0.180255,0.0108848,0.0135353,0.606131,0.9305
300,0.17774,0.179312,0.0107584,0.0133959,0.606735,0.931994
301,0.176809,0.178372,0.0106339,0.0132585,0.607335,0.93348
302,0.175882,0.177436,0.0105112,0.013123,0.607931,0.934958
303,0.174958,0.176503,0.0103903,0.0129894,0.608524,0.936428
304,0.174038,0.175574,0.0102711,0.0128576,0.609113,0.937891
305,0.173122,0.174649,0.0101536,0.0127276,0.609698,0.939346
