Time,TR,RM
0,1,0.282723
1,0.977935,0.296035
2,0.95787,0.316294
3,0.939832,0.339531
4,0.923521,0.364836
5,0.908658,0.391929
6,0.89501,0.420716
7,0.882385,0.451182
8,0.870626,0.483342
9,0.859602,0.517233
10,0.849203,0.552902
11,0.839335,0.5904
12,0.829918,0.629779
13,0.820879,0.671092
14,0.812157,0.71439
15,0.803695,0.759723
16,0.795442,0.807135
17,0.787352,0.856669
18,0.779381,0.908361
19,0.771489,0.962243
20,0.763639,1.01834
21,0.755795,1.07667
22,0.747922,1.13725
23,0.739989,1.20007
24,0.731964,1.26514
25,0.723818,1.33244
26,0.715522,1.40196
27,0.707047,1.47365
28,0.698367,1.54747
29,0.689457,1.62338
30,0.680291,1.70131
31,0.670845,1.78119
32,0.661099,1.86293
33,0.651029,1.94644
34,0.640617,2.03161
35,0.629846,2.11834
36,0.618699,2.20649
37,0.607163,2.29593
38,0.595228,2.38652
39,0.582885,2.4781
40,0.57013,2.57053
41,0.556963,2.66363
42,0.543387,2.75722
43,0.529408,2.85114
44,0.51504,2.94521
45,0.500298,3.03923
46,0.485205,3.13302
47,0.469787,3.2264
48,0.454078,3.31918
49,0.438113,3.41117
50,0.421935,3.5022
51,0.405589,3.59209
52,0.389126,3.68066
53,0.3726,3.76776
54,0.356065,3.85322
55,0.339579,3.9369
56,0.323201,4.01867
57,0.306988,4.0984
58,0.290997,4.17597
59,0.275284,4.25131
60,0.2599,4.32431
61,0.244893,4.39491
62,0.230307,4.46306
63,0.216181,4.52871
64,0.202548,4.59185
65,0.189435,4.65247
66,0.176865,4.71057
67,0.164853,4.76616
68,0.153411,4.81928
69,0.142544,4.86997
70,0.132253,4.91828
71,0.122532,4.96428
72,0.113375,5.00802
73,0.10477,5.0496
74,0.0967027,5.08908
75,0.0891553,5.12656
76,0.0821091,5.16212
77,0.0755437,5.19585
78,0.0694372,5.22785
79,0.0637673,5.25821
80,0.0585112,5.28702
81,0.0536458,5.31437
82,0.0491484,5.34035
83,0.0449965,5.36504
84,0.0411682,5.38853
85,0.0376422,5.41089
86,0.0343981,5.43221
87,0.0314163,5.45256
88,0.028678,5.472
89,0.0261655,5.49061
90,0.023862,5.50844
91,0.0217518,5.52555
92,0.0198198,5.542
93,0.0180523,5.55785
94,0.0164361,5.57313
95,0.0149592,5.58789
96,0.0136103,5.60217
97,0.012379,5.61602
98,0.0112554,5.62947
99,0.0102308,5.64255
100,0.00929661,5.65529
101,0.00844535,5.66773
102,0.00766992,5.67988
103,0.00696383,5.69177
104,0.0063211,5.70343
105,0.00573623,5.71487
106,0.0052042,5.72611
107,0.00472038,5.73717
108,0.00428053,5.74807
109,0.00388076,5.75882
110,0.00351753,5.76943
111,0.00318759,5.77992
112,0.00288796,5.7903
113,0.00261593,5.80057
114,0.00236901,5.81075
115,0.00214495,5.82084
116,0.00194168,5.83085
117,0.0017573,5.84079
118,0.00159011,5.85067
119,0.00143853,5.86049
120,0.00130113,5.87026
121,0.00117663,5.87998
122,0.00106382,5.88965
123,0.00096164,5.89928
124,0.000869102,5.90888
125,0.000785315,5.91845
126,0.000709466,5.92798
127,0.000640817,5.93749
128,0.000578699,5.94697
129,0.000522501,5.95643
130,0.000471669,5.96587
131,0.0004257,5.97529
132,0.000384137,5.98469
133,0.000346565,5.99407
134,0.000312608,6.00345
135,0.000281924,6.01281
136,0.000254203,6.02215
137,0.000229164,6.03149
138,0.000206552,6.04082
139,0.000186136,6.05013
140,0.000167705,6.05944
141,0.000151071,6.06874
142,0.00013606,6.07804
143,0.000122518,6.08733
144,0.000110303,6.09661
145,9.92861e-05,6.10588
146,8.9353e-05,6.11515
147,8.03983e-05,6.12442
148,7.23272e-05,6.13368
149,6.5054e-05,6.14294
150,5.85011e-05,6.15219
151,5.25983e-05,6.16144
152,4.7282e-05,6.17068
153,4.24951e-05,6.17992
154,3.81855e-05,6.18916
155,3.43065e-05,6.1984
156,3.08156e-05,6.20763
157,2.76747e-05,6.21686
158,2.48492e-05,6.22608
159,2.2308e-05,6.23531
160,2.00229e-05,6.24453
161,1.79684e-05,6.25374
162,1.61217e-05,6.26296
163,1.4462e-05,6.27217
164,1.29707e-05,6.28138
165,1.1631e-05,6.29059
166,1.04277e-05,6.29979
167,9.34712e-06,6.30899
168,8.37692e-06,6.31819
169,7.50601e-06,6.32739
170,6.72437e-06,6.33658
171,6.02298e-06,6.34577
172,5.39374e-06,6.35496
173,4.82932e-06,6.36414
174,4.32314e-06,6.37333
175,3.86929e-06,6.38251
176,3.46243e-06,6.39169
177,3.09777e-06,6.40086
178,2.77099e-06,6.41003
179,2.47821e-06,6.4192
180,2.21595e-06,6.42837
181,1.98107e-06,6.43753
182,1.77076e-06,6.44669
183,1.58247e-06,6.45585
184,1.41394e-06,6.465
185,1.26311e-06,6.47415
186,1.12817e-06,6.4833
187,1.00745e-06,6.49245
188,8.99478e-07,6.50159
189,8.02928e-07,6.51073
190,7.16607e-07,6.51986
191,6.39446e-07,6.529
192,5.70486e-07,6.53813
193,5.08868e-07,6.54725
194,4.5382e-07,6.55637
195,4.04651e-07,6.56549
196,3.60742e-07,6.57461
197,3.21537e-07,6.58372
198,2.86539e-07,6.59283
199,2.55303e-07,6.60194
200,2.27429e-07,6.61104
201,2.02561e-07,6.62013
202,1.80379e-07,6.62923
203,1.60595e-07,6.63832
204,1.42955e-07,6.64741
205,1.27228e-07,6.65649
206,1.13211e-07,6.66557
207,1.00719e-07,6.67464
208,8.95891e-08,6.68371
209,7.96741e-08,6.69278
210,7.08433e-08,6.70184
211,6.29795e-08,6.7109
212,5.59782e-08,6.71996
213,4.97461e-08,6.72901
214,4.41995e-08,6.73805
215,3.92641e-08,6.7471
216,3.48734e-08,6.75614
217,3.09679e-08,6.76517
218,2.74947e-08,6.7742
219,2.44065e-08,6.78322
220,2.16612e-08,6.79224
221,1.92211e-08,6.80126
222,1.70528e-08,6.81027
223,1.51263e-08,6.81928
224,1.34149e-08,6.82828
225,1.1895e-08,6.83728
226,1.05453e-08,6.84627
227,9.34711e-09,6.85526
228,8.2835e-09,6.86424
229,7.33958e-09,6.87322
230,6.50202e-09,6.8822
231,5.75898e-09,6.89116
232,5.09993e-09,6.90013
233,4.51547e-09,6.90909
234,3.99725e-09,6.91804
235,3.53787e-09,6.92699
236,3.1307e-09,6.93593
237,2.76989e-09,6.94487
238,2.45022e-09,6.95381
239,2.16704e-09,6.96274
240,1.91624e-09,6.97166
241,1.69416e-09,6.98058
242,1.49755e-09,6.98949
243,1.32351e-09,6.9984
244,1.16948e-09,7.0073
245,1.0332e-09,7.0162
246,9.12627e-10,7.02509
247,8.05981e-10,7.03397
248,7.11668e-10,7.04285
249,6.28278e-10,7.05173
250,5.54558e-10,7.06059
251,4.89401e-10,7.06946
252,4.31821e-10,7.07832
253,3.80946e-10,7.08717
254,3.36005e-10,7.09601
255,2.96313e-10,7.10485
256,2.61262e-10,7.11369
257,2.30316e-10,7.12252
258,2.02999e-10,7.13134
259,1.7889e-10,7.14015
260,1.57616e-10,7.14896
261,1.38847e-10,7.15777
262,1.22291e-10,7.16657
263,1.0769e-10,7.17536
264,9.48154e-11,7.18414
265,8.3465e-11,7.19292
266,7.34603e-11,7.2017
267,6.46433e-11,7.21047
268,5.68744e-11,7.21923
269,5.00303e-11,7.22798
270,4.4002e-11,7.23673
271,3.86932e-11,7.24547
272,3.40188e-11,7.25421
273,2.99039e-11,7.26294
274,2.6282e-11,7.27166
275,2.30947e-11,7.28037
276,2.02904e-11,7.28908
277,1.78234e-11,7.29779
278,1.56536e-11,7.30648
279,1.37455e-11,7.31517
280,1.20679e-11,7.32385
281,1.05932e-11,7.33253
282,9.29706e-12,7.3412
283,8.15807e-12,7.34986
284,7.15737e-12,7.35852
285,6.27831e-12,7.36717
286,5.50626e-12,7.37581
287,4.8283e-12,7.38444
288,4.23307e-12,7.39307
289,3.71058e-12,7.40169
290,3.25201e-12,7.4103
291,2.84961e-12,7.41891
292,2.49657e-12,7.42751
293,2.18689e-12,7.4361
294,1.91529e-12,7.44469
295,1.67713e-12,7.45327
296,1.46833e-12,7.46184
297,1.28531e-12,7.4704
298,1.1249e-12,7.47895
299,9.84338e-13,7.4875
300,8.61194e-13,7.49604
301,7.53325e-13,7.50458
302,6.58854e-13,7.5131
303,5.76131e-13,7.52162
304,5.03707e-13,7.53013
305,4.40312e-13,7.53864
306,3.8483e-13,7.54713
307,3.36281e-13,7.55562
308,2.93807e-13,7.5641
309,2.56653e-13,7.57258
310,2.24159e-13,7.58104
311,1.95746e-13,7.5895
312,1.70905e-13,7.59795
313,1.49192e-13,7.60639
314,1.30214e-13,7.61483
315,1.13632e-13,7.62325
316,9.9144e-14,7.63167
317,8.64888e-14,7.64008
318,7.54361e-14,7.64849
319,6.57848e-14,7.65688
320,5.73586e-14,7.66527
321,5.00032e-14,7.67365
322,4.35836e-14,7.68202
323,3.79819e-14,7.69038
324,3.30945e-14,7.69873
325,2.88312e-14,7.70708
326,2.51129e-14,7.71542
327,2.18705e-14,7.72375
328,1.90435e-14,7.73207
329,1.65791e-14,7.74038
330,1.44313e-14,7.74869
331,1.25596e-14,7.75698
332,1.09288e-14,7.76527
333,9.5082e-15,7.77355
334,8.27088e-15,7.78182
335,7.19337e-15,7.79009
336,6.25521e-15,7.79834
337,5.43849e-15,7.80659
338,4.72763e-15,7.81483
339,4.10901e-15,7.82306
340,3.57074e-15,7.83128
341,3.10247e-15,7.83949
342,2.69517e-15,7.84769
343,2.34095e-15,7.85589
344,2.03296e-15,7.86407
345,1.76519e-15,7.87225
346,1.53244e-15,7.88042
347,1.33017e-15,7.88858
348,1.1544e-15,7.89673
349,1.0017e-15,7.90487
350,8.6905e-16,7.913
351,7.53846e-16,7.92113
352,6.53807e-16,7.92924
353,5.66952e-16,7.93735
354,4.91555e-16,7.94545
355,4.26115e-16,7.95354
356,3.69328e-16,7.96162
357,3.20057e-16,7.96969
358,2.77314e-16,7.97775
359,2.4024e-16,7.9858
360,2.0809e-16,7.99385
361,1.80212e-16,8.00188
362,1.56045e-16,8.00991
363,1.35097e-16,8.01792
364,1.16942e-16,8.02593
365,1.0121e-16,8.03393
366,8.75813e-17,8.04192
367,7.57754e-17,8.0499
368,6.55504e-17,8.05787
369,5.66962e-17,8.06583
370,4.90301e-17,8.07378
371,4.23939e-17,8.08172
372,3.665e-17,8.08965
373,3.16794e-17,8.09758
374,2.73785e-17,8.10549
375,2.36578e-17,8.1134
376,2.04396e-17,8.12129
377,1.76563e-17,8.12918
378,1.52496e-17,8.13705
379,1.31689e-17,8.14492
380,1.13703e-17,8.15278
381,9.81586e-18,8.16063
382,8.47257e-18,8.16846
383,7.31196e-18,8.17629
384,6.30936e-18,8.18411
385,5.44338e-18,8.19192
386,4.69553e-18,8.19972
387,4.04979e-18,8.20751
388,3.49231e-18,8.21529
389,3.01111e-18,8.22306
390,2.59581e-18,8.23082
391,2.23744e-18,8.23857
392,1.92825e-18,8.24632
393,1.66153e-18,8.25405
394,1.43148e-18,8.26177
395,1.2331e-18,8.26948
396,1.06204e-18,8.27718
397,9.14575e-19,8.28487
398,7.87464e-19,8.29256
399,6.77915e-19,8.30023
400,5.83518e-19,8.30789
401,5.02188e-19,8.31554
402,4.32128e-19,8.32319
403,3.71786e-19,8.33082
404,3.19821e-19,8.33844
405,2.75077e-19,8.34605
406,2.36558e-19,8.35366
407,2.03402e-19,8.36125
408,1.74866e-19,8.36883
409,1.50311e-19,8.3764
410,1.29185e-19,8.38397
411,1.11011e-19,8.39152
412,9.53799e-20,8.39906
413,8.19373e-20,8.40659
414,7.03788e-20,8.41411
415,6.04417e-20,8.42163
416,5.18999e-20,8.42913
417,4.45587e-20,8.43662
418,3.82502e-20,8.4441
419,3.28299e-20,8.45157
420,2.81736e-20,8.45903
421,2.4174e-20,8.46648
422,2.07392e-20,8.47392
423,1.77898e-20,8.48135
424,1.52576e-20,8.48877
425,1.30839e-20,8.49618
426,1.12183e-20,8.50358
