Time,TR,RM
0,1,0.282723
1,0.977935,0.296035
2,0.958653,0.316266
3,0.941555,0.339471
4,0.926222,0.364751
5,0.912357,0.39183
6,0.899739,0.420619
7,0.888195,0.451107
8,0.877585,0.483315
9,0.867798,0.517287
10,0.858737,0.553077
11,0.850323,0.590746
12,0.842487,0.630358
13,0.835169,0.67198
14,0.828316,0.715679
15,0.821881,0.76152
16,0.815825,0.80957
17,0.810108,0.859894
18,0.804699,0.912552
19,0.799568,0.967605
20,0.794687,1.02511
21,0.790032,1.08511
22,0.78558,1.14767
23,0.781311,1.21283
24,0.777207,1.28061
25,0.77325,1.35107
26,0.769425,1.42422
27,0.765718,1.50008
28,0.762116,1.57868
29,0.758607,1.66001
30,0.75518,1.74408
31,0.751825,1.83087
32,0.748533,1.92038
33,0.745295,2.01258
34,0.742105,2.10743
35,0.738954,2.2049
36,0.735838,2.30493
37,0.73275,2.40749
38,0.729686,2.51249
39,0.72664,2.61986
40,0.723608,2.72954
41,0.720588,2.84144
42,0.717576,2.95546
43,0.714568,3.07151
44,0.711564,3.18948
45,0.70856,3.30927
46,0.705555,3.43077
47,0.702548,3.55387
48,0.699537,3.67843
49,0.696521,3.80435
50,0.693501,3.9315
51,0.690475,4.05975
52,0.687443,4.18898
53,0.684406,4.31907
54,0.681362,4.44989
55,0.678314,4.58132
56,0.67526,4.71323
57,0.672201,4.84551
58,0.669139,4.97803
59,0.666073,5.11068
60,0.663005,5.24334
61,0.659934,5.37591
62,0.656863,5.50827
63,0.653792,5.64034
64,0.650721,5.77199
65,0.647653,5.90315
66,0.644587,6.03372
67,0.641524,6.16362
68,0.638467,6.29275
69,0.635414,6.42106
70,0.632369,6.54845
71,0.62933,6.67486
72,0.6263,6.80023
73,0.623279,6.9245
74,0.620268,7.0476
75,0.617267,7.1695
76,0.614278,7.29014
77,0.611302,7.40947
78,0.608338,7.52746
79,0.605388,7.64407
80,0.602452,7.75926
81,0.599531,7.87301
82,0.596625,7.9853
83,0.593735,8.09609
84,0.590861,8.20537
85,0.588004,8.31312
86,0.585164,8.41932
87,0.582342,8.52397
88,0.579538,8.62706
89,0.576751,8.72857
90,0.573983,8.8285
91,0.571234,8.92686
92,0.568503,9.02363
93,0.565792,9.11882
94,0.563099,9.21244
95,0.560426,9.30448
96,0.557772,9.39495
97,0.555137,9.48387
98,0.552522,9.57123
99,0.549926,9.65704
100,0.54735,9.74133
101,0.544792,9.82409
102,0.542255,9.90534
103,0.539736,9.9851
104,0.537237,10.0634
105,0.534756,10.1402
106,0.532295,10.2155
107,0.529852,10.2895
108,0.527429,10.3619
109,0.525023,10.433
110,0.522636,10.5027
111,0.520268,10.5711
112,0.517917,10.6381
113,0.515584,10.7037
114,0.513269,10.7681
115,0.510971,10.8311
116,0.508691,10.8929
117,0.506428,10.9534
118,0.504181,11.0126
119,0.501952,11.0707
120,0.499738,11.1275
121,0.497541,11.1832
122,0.49536,11.2376
123,0.493194,11.291
124,0.491044,11.3432
125,0.48891,11.3943
126,0.48679,11.4443
127,0.484685,11.4932
128,0.482595,11.5411
129,0.480519,11.5879
130,0.478457,11.6338
131,0.47641,11.6786
132,0.474376,11.7224
133,0.472355,11.7653
134,0.470348,11.8072
135,0.468353,11.8482
136,0.466372,11.8882
137,0.464403,11.9274
138,0.462446,11.9657
139,0.460502,12.0031
140,0.458569,12.0397
141,0.456649,12.0754
142,0.45474,12.1103
143,0.452842,12.1444
144,0.450955,12.1777
145,0.44908,12.2103
146,0.447215,12.242
147,0.44536,12.2731
148,0.443516,12.3034
149,0.441683,12.333
150,0.439859,12.3619
151,0.438045,12.3901
152,0.436241,12.4176
153,0.434447,12.4444
154,0.432661,12.4706
155,0.430885,12.4962
156,0.429118,12.5211
157,0.42736,12.5455
158,0.425611,12.5692
159,0.42387,12.5923
160,0.422138,12.6149
161,0.420414,12.6369
162,0.418698,12.6583
163,0.416991,12.6792
164,0.415291,12.6996
165,0.413599,12.7194
166,0.411914,12.7387
167,0.410237,12.7575
168,0.408568,12.7759
169,0.406906,12.7937
170,0.405251,12.8111
171,0.403603,12.828
172,0.401962,12.8445
173,0.400328,12.8605
174,0.3987,12.876
175,0.39708,12.8912
176,0.395466,12.9059
177,0.393858,12.9203
178,0.392257,12.9342
179,0.390662,12.9477
180,0.389073,12.9609
181,0.38749,12.9736
182,0.385914,12.986
183,0.384343,12.9981
184,0.382778,13.0097
185,0.381219,13.0211
186,0.379666,13.0321
187,0.378118,13.0427
188,0.376576,13.0531
189,0.37504,13.0631
190,0.373509,13.0728
191,0.371983,13.0822
192,0.370463,13.0913
193,0.368948,13.1001
194,0.367438,13.1086
195,0.365934,13.1169
196,0.364434,13.1248
197,0.36294,13.1325
198,0.361451,13.14
199,0.359966,13.1471
200,0.358487,13.1541
201,0.357012,13.1607
202,0.355543,13.1672
203,0.354078,13.1734
204,0.352618,13.1793
205,0.351162,13.185
206,0.349711,13.1906
207,0.348265,13.1958
208,0.346824,13.2009
209,0.345387,13.2058
210,0.343954,13.2105
211,0.342527,13.2149
212,0.341103,13.2192
213,0.339684,13.2233
214,0.33827,13.2272
215,0.33686,13.2309
216,0.335454,13.2344
217,0.334053,13.2378
218,0.332656,13.241
219,0.331263,13.244
220,0.329875,13.2469
221,0.32849,13.2496
222,0.327111,13.2521
223,0.325735,13.2545
224,0.324363,13.2567
225,0.322996,13.2588
226,0.321633,13.2608
227,0.320274,13.2626
228,0.318919,13.2643
229,0.317568,13.2658
230,0.316222,13.2672
231,0.314879,13.2685
232,0.313541,13.2697
233,0.312207,13.2707
234,0.310876,13.2716
235,0.30955,13.2724
236,0.308228,13.2731
237,0.30691,13.2737
238,0.305596,13.2742
239,0.304285,13.2745
240,0.302979,13.2748
241,0.301677,13.2749
242,0.300379,13.275
243,0.299085,13.275
244,0.297795,13.2748
245,0.296509,13.2746
246,0.295226,13.2743
247,0.293948,13.2739
248,0.292674,13.2734
249,0.291403,13.2729
250,0.290137,13.2722
251,0.288874,13.2715
252,0.287616,13.2707
253,0.286361,13.2698
254,0.28511,13.2689
255,0.283863,13.2678
256,0.28262,13.2667
257,0.281381,13.2656
258,0.280146,13.2644
259,0.278915,13.2631
260,0.277688,13.2617
261,0.276465,13.2603
262,0.275245,13.2588
263,0.274029,13.2573
264,0.272818,13.2557
265,0.27161,13.2541
266,0.270406,13.2524
267,0.269206,13.2507
268,0.26801,13.2489
269,0.266818,13.247
270,0.26563,13.2451
271,0.264445,13.2432
272,0.263265,13.2412
273,0.262088,13.2392
274,0.260915,13.2371
275,0.259746,13.235
276,0.258581,13.2328
277,0.25742,13.2307
278,0.256263,13.2284
279,0.25511,13.2262
280,0.25396,13.2239
281,0.252815,13.2215
282,0.251673,13.2192
283,0.250535,13.2168
284,0.249401,13.2143
285,0.248271,13.2119
286,0.247145,13.2094
287,0.246023,13.2069
288,0.244905,13.2043
289,0.24379,13.2018
290,0.242679,13.1992
291,0.241573,13.1966
292,0.24047,13.1939
293,0.239371,13.1913
294,0.238276,13.1886
295,0.237184,13.1859
296,0.236097,13.1831
297,0.235014,13.1804
298,0.233934,13.1776
299,0.232858,13.1748
300,0.231786,13.172
301,0.230718,13.1692
302,0.229654,13.1664
303,0.228594,13.1636
304,0.227538,13.1607
305,0.226485,13.1578
306,0.225436,13.1549
307,0.224392,13.152
308,0.223351,13.1491
309,0.222313,13.1462
310,0.22128,13.1433
311,0.220251,13.1403
312,0.219225,13.1374
313,0.218204,13.1344
314,0.217186,13.1315
315,0.216172,13.1285
316,0.215162,13.1255
317,0.214155,13.1225
318,0.213153,13.1195
319,0.212154,13.1165
320,0.21116,13.1135
321,0.210169,13.1105
322,0.209182,13.1075
323,0.208198,13.1045
324,0.207219,13.1015
325,0.206243,13.0984
326,0.205271,13.0954
327,0.204304,13.0924
328,0.203339,13.0894
329,0.202379,13.0863
330,0.201422,13.0833
331,0.20047,13.0803
332,0.199521,13.0772
333,0.198575,13.0742
334,0.197634,13.0712
335,0.196697,13.0682
336,0.195763,13.0651
337,0.194833,13.0621
338,0.193906,13.0591
339,0.192984,13.0561
340,0.192065,13.0531
341,0.19115,13.05
342,0.190239,13.047
343,0.189332,13.044
344,0.188428,13.041
345,0.187528,13.038
346,0.186632,13.035
347,0.185739,13.0321
348,0.18485,13.0291
349,0.183965,13.0261
350,0.183084,13.0231
351,0.182206,13.0202
352,0.181332,13.0172
353,0.180462,13.0142
354,0.179596,13.0113
355,0.178733,13.0084
356,0.177874,13.0054
357,0.177018,13.0025
358,0.176166,12.9996
359,0.175318,12.9967
360,0.174473,12.9938
361,0.173633,12.9909
362,0.172795,12.988
363,0.171962,12.9851
364,0.171132,12.9822
365,0.170305,12.9794
366,0.169483,12.9765
367,0.168663,12.9737
368,0.167848,12.9708
369,0.167036,12.968
370,0.166228,12.9652
371,0.165423,12.9624
372,0.164622,12.9596
373,0.163824,12.9568
374,0.16303,12.954
375,0.162239,12.9513
376,0.161452,12.9485
377,0.160669,12.9458
378,0.159889,12.943
379,0.159112,12.9403
380,0.158339,12.9376
381,0.15757,12.9349
382,0.156804,12.9322
383,0.156042,12.9295
384,0.155283,12.9268
385,0.154527,12.9242
386,0.153775,12.9215
387,0.153026,12.9189
388,0.152281,12.9162
389,0.151539,12.9136
390,0.150801,12.911
391,0.150066,12.9084
392,0.149335,12.9058
393,0.148607,12.9033
394,0.147882,12.9007
395,0.147161,12.8982
396,0.146443,12.8956
397,0.145728,12.8931
398,0.145017,12.8906
399,0.144309,12.8881
400,0.143604,12.8856
401,0.142903,12.8831
402,0.142205,12.8807
403,0.14151,12.8782
404,0.140819,12.8758
405,0.140131,12.8734
406,0.139446,12.871
407,0.138765,12.8686
408,0.138086,12.8662
409,0.137411,12.8638
410,0.13674,12.8614
411,0.136071,12.8591
412,0.135406,12.8567
413,0.134744,12.8544
414,0.134085,12.8521
415,0.133429,12.8498
416,0.132776,12.8475
417,0.132127,12.8452
418,0.131481,12.843
419,0.130838,12.8407
420,0.130198,12.8385
421,0.129561,12.8363
422,0.128927,12.834
423,0.128297,12.8318
424,0.127669,12.8297
425,0.127045,12.8275
426,0.126423,12.8253
427,0.125805,12.8232
428,0.12519,12.821
429,0.124578,12.8189
430,0.123968,12.8168
431,0.123362,12.8147
432,0.122759,12.8126
433,0.122159,12.8105
434,0.121562,12.8085
435,0.120968,12.8064
436,0.120377,12.8044
437,0.119788,12.8024
438,0.119203,12.8004
439,0.118621,12.7984
440,0.118041,12.7964
441,0.117465,12.7944
442,0.116891,12.7925
443,0.116321,12.7905
444,0.115753,12.7886
445,0.115188,12.7867
446,0.114626,12.7847
447,0.114067,12.7829
448,0.11351,12.781
449,0.112957,12.7791
450,0.112406,12.7772
451,0.111858,12.7754
452,0.111313,12.7736
453,0.110771,12.7717
454,0.110231,12.7699
455,0.109694,12.7681
456,0.10916,12.7663
457,0.108629,12.7646
458,0.1081,12.7628
459,0.107575,12.7611
460,0.107051,12.7593
461,0.106531,12.7576
462,0.106013,12.7559
463,0.105498,12.7542
464,0.104986,12.7525
465,0.104476,12.7508
466,0.103969,12.7492
467,0.103465,12.7475
468,0.102963,12.7459
469,0.102464,12.7442
470,0.101967,12.7426
471,0.101473,12.741
472,0.100981,12.7394
473,0.100493,12.7379
474,0.100006,12.7363
475,0.0995225,12.7347
476,0.0990413,12.7332
477,0.0985626,12.7316
478,0.0980864,12.7301
479,0.0976128,12.7286
480,0.0971416,12.7271
481,0.0966729,12.7256
482,0.0962067,12.7241
483,0.0957429,12.7227
484,0.0952816,12.7212
485,0.0948227,12.7198
486,0.0943663,12.7184
487,0.0939123,12.7169
488,0.0934607,12.7155
489,0.0930115,12.7141
490,0.0925646,12.7127
491,0.0921202,12.7114
492,0.0916781,12.71
493,0.0912384,12.7086
494,0.090801,12.7073
495,0.090366,12.706
496,0.0899332,12.7046
497,0.0895028,12.7033
498,0.0890747,12.702
499,0.0886489,12.7007
500,0.0882254,12.6995
501,0.0878041,12.6982
502,0.0873851,12.6969
503,0.0869684,12.6957
