Time,TR,RM
0,1,0.282723
1,0.978143,0.29934
2,0.959565,0.326114
3,0.943524,0.357728
4,0.929487,0.393068
5,0.917077,0.431864
6,0.906011,0.474096
7,0.89607,0.519846
8,0.887082,0.569245
9,0.878905,0.62245
10,0.871423,0.679632
11,0.86454,0.74097
12,0.858174,0.806642
13,0.852254,0.876824
14,0.846719,0.951685
15,0.841516,1.03138
16,0.836597,1.11605
17,0.831922,1.20583
18,0.827453,1.30081
19,0.823159,1.40107
20,0.819009,1.50669
21,0.814978,1.61767
22,0.811043,1.73403
23,0.807182,1.85572
24,0.803379,1.98268
25,0.799617,2.11481
26,0.795882,2.252
27,0.792161,2.39406
28,0.788444,2.54082
29,0.784722,2.69204
30,0.780987,2.84749
31,0.777233,3.0069
32,0.773455,3.16997
33,0.769648,3.3364
34,0.76581,3.50587
35,0.761939,3.67803
36,0.758033,3.85256
37,0.754093,4.02912
38,0.750117,4.20734
39,0.746108,4.38691
40,0.742067,4.56748
41,0.737995,4.74872
42,0.733894,4.93033
43,0.729767,5.11199
44,0.725617,5.29341
45,0.721447,5.47433
46,0.717259,5.65449
47,0.713057,5.83363
48,0.708844,6.01154
49,0.704623,6.18801
50,0.700398,6.36285
51,0.696172,6.53589
52,0.691948,6.70697
53,0.687729,6.87595
54,0.683517,7.04271
55,0.679317,7.20714
56,0.67513,7.36914
57,0.670959,7.52863
58,0.666807,7.68554
59,0.662675,7.83982
60,0.658566,7.99141
61,0.654483,8.14029
62,0.650426,8.28641
63,0.646398,8.42978
64,0.6424,8.57036
65,0.638433,8.70817
66,0.634499,8.84319
67,0.630599,8.97545
68,0.626734,9.10494
69,0.622905,9.2317
70,0.619112,9.35573
71,0.615356,9.47707
72,0.611638,9.59575
73,0.607959,9.71179
74,0.604318,9.82523
75,0.600715,9.9361
76,0.597152,10.0444
77,0.593627,10.1503
78,0.590142,10.2537
79,0.586696,10.3547
80,0.583289,10.4533
81,0.57992,10.5496
82,0.57659,10.6436
83,0.573299,10.7353
84,0.570045,10.8249
85,0.566829,10.9123
86,0.563651,10.9976
87,0.560509,11.0808
88,0.557404,11.162
89,0.554334,11.2411
90,0.551301,11.3184
91,0.548302,11.3937
92,0.545338,11.4672
93,0.542408,11.5388
94,0.539511,11.6087
95,0.536647,11.6768
96,0.533815,11.7432
97,0.531015,11.8079
98,0.528247,11.8709
99,0.525509,11.9324
100,0.5228,11.9923
101,0.520122,12.0507
102,0.517472,12.1076
103,0.51485,12.163
104,0.512256,12.217
105,0.50969,12.2696
106,0.507149,12.3208
107,0.504635,12.3707
108,0.502146,12.4193
109,0.499683,12.4666
110,0.497243,12.5126
111,0.494827,12.5575
112,0.492435,12.6011
113,0.490065,12.6436
114,0.487718,12.685
115,0.485392,12.7252
116,0.483088,12.7643
117,0.480805,12.8024
118,0.478541,12.8395
119,0.476298,12.8755
120,0.474074,12.9105
121,0.471869,12.9446
122,0.469682,12.9778
123,0.467514,13.01
