Time,TR,RM
0,1,0.282723
1,0.977935,0.296035
2,0.958623,0.316278
3,0.941467,0.339508
4,0.926055,0.364825
5,0.912095,0.391955
6,0.899369,0.420811
7,0.887708,0.451379
8,0.876975,0.483684
9,0.867059,0.51777
10,0.857867,0.553692
11,0.84932,0.591512
12,0.84135,0.631296
13,0.833898,0.67311
14,0.826913,0.717023
15,0.820347,0.763102
16,0.814162,0.811416
17,0.808319,0.862028
18,0.802786,0.915003
19,0.797534,0.970401
20,0.792535,1.02828
21,0.787766,1.08869
22,0.783203,1.15169
23,0.778827,1.21732
24,0.77462,1.28562
25,0.770564,1.35663
26,0.766643,1.43036
27,0.762845,1.50686
28,0.759156,1.58613
29,0.755563,1.66817
30,0.752057,1.753
31,0.748627,1.84061
32,0.745264,1.93097
33,0.74196,2.02407
34,0.738708,2.11988
35,0.7355,2.21836
36,0.73233,2.31946
37,0.729193,2.42313
38,0.726084,2.5293
39,0.722998,2.6379
40,0.719932,2.74887
41,0.716881,2.8621
42,0.713843,2.97752
43,0.710815,3.09502
44,0.707794,3.21451
45,0.704779,3.33587
46,0.701769,3.45899
47,0.698761,3.58377
48,0.695754,3.71007
49,0.692749,3.83778
50,0.689744,3.96677
51,0.686739,4.09693
52,0.683734,4.22811
53,0.680729,4.3602
54,0.677724,4.49307
55,0.674719,4.6266
56,0.671716,4.76065
57,0.668714,4.89511
58,0.665714,5.02986
59,0.662718,5.16477
60,0.659725,5.29973
61,0.656737,5.43463
62,0.653755,5.56936
63,0.650779,5.70382
64,0.647811,5.8379
65,0.644851,5.9715
66,0.641901,6.10453
67,0.638962,6.2369
68,0.636035,6.36853
69,0.63312,6.49934
70,0.630218,6.62925
71,0.627331,6.75818
72,0.62446,6.88607
73,0.621605,7.01286
74,0.618767,7.13849
75,0.615947,7.2629
76,0.613146,7.38604
77,0.610365,7.50786
78,0.607604,7.62833
79,0.604863,7.74739
80,0.602144,7.86503
81,0.599447,7.9812
82,0.596773,8.09587
83,0.594122,8.20902
84,0.591494,8.32063
85,0.588891,8.43067
86,0.586311,8.53914
87,0.583756,8.64601
88,0.581226,8.75127
89,0.578721,8.85492
90,0.576241,8.95694
91,0.573787,9.05734
92,0.571358,9.15611
93,0.568955,9.25325
94,0.566577,9.34875
95,0.564225,9.44263
96,0.5619,9.53488
97,0.559599,9.62551
98,0.557325,9.71453
99,0.555076,9.80194
100,0.552852,9.88776
101,0.550654,9.97199
102,0.548481,10.0546
103,0.546334,10.1357
104,0.544211,10.2153
105,0.542113,10.2933
106,0.540039,10.3698
107,0.53799,10.4447
108,0.535964,10.5182
109,0.533963,10.5902
110,0.531985,10.6608
111,0.53003,10.7299
112,0.528098,10.7975
113,0.526189,10.8638
114,0.524302,10.9287
115,0.522437,10.9922
116,0.520595,11.0543
117,0.518773,11.1151
118,0.516973,11.1746
119,0.515193,11.2328
120,0.513434,11.2897
121,0.511695,11.3453
122,0.509976,11.3997
123,0.508277,11.4529
124,0.506596,11.5048
125,0.504935,11.5556
126,0.503292,11.6052
127,0.501667,11.6536
128,0.50006,11.7009
129,0.49847,11.7471
130,0.496898,11.7922
131,0.495342,11.8362
132,0.493803,11.8792
133,0.49228,11.9211
134,0.490773,11.9619
135,0.489282,12.0018
136,0.487805,12.0407
137,0.486344,12.0785
138,0.484897,12.1155
139,0.483465,12.1515
140,0.482047,12.1865
141,0.480642,12.2207
142,0.47925,12.2539
143,0.477872,12.2863
144,0.476507,12.3178
145,0.475154,12.3484
146,0.473813,12.3783
147,0.472485,12.4073
148,0.471168,12.4355
149,0.469862,12.4629
150,0.468568,12.4895
151,0.467285,12.5154
152,0.466012,12.5405
153,0.46475,12.5649
154,0.463498,12.5886
155,0.462255,12.6116
156,0.461023,12.6338
157,0.4598,12.6554
158,0.458586,12.6764
159,0.457381,12.6966
160,0.456185,12.7163
161,0.454998,12.7353
162,0.453819,12.7536
163,0.452648,12.7714
164,0.451485,12.7886
165,0.45033,12.8052
166,0.449182,12.8212
167,0.448042,12.8366
168,0.446909,12.8515
169,0.445783,12.8659
170,0.444664,12.8797
171,0.443552,12.893
172,0.442445,12.9058
173,0.441346,12.9181
174,0.440252,12.9299
175,0.439165,12.9412
176,0.438083,12.9521
177,0.437007,12.9625
178,0.435936,12.9724
179,0.434871,12.9819
180,0.433811,12.9909
181,0.432757,12.9995
182,0.431707,13.0077
183,0.430662,13.0155
184,0.429622,13.0229
185,0.428586,13.0299
186,0.427555,13.0365
187,0.426528,13.0427
188,0.425505,13.0485
189,0.424487,13.054
190,0.423472,13.0591
191,0.422462,13.0639
192,0.421455,13.0683
193,0.420452,13.0724
194,0.419452,13.0762
195,0.418456,13.0796
196,0.417464,13.0827
197,0.416474,13.0855
198,0.415488,13.088
199,0.414505,13.0902
200,0.413526,13.0921
201,0.412549,13.0937
202,0.411574,13.0951
203,0.410603,13.0962
204,0.409635,13.0969
205,0.408669,13.0975
206,0.407705,13.0978
207,0.406745,13.0978
208,0.405786,13.0976
209,0.40483,13.0971
210,0.403877,13.0964
211,0.402925,13.0954
212,0.401976,13.0943
213,0.401029,13.0929
214,0.400084,13.0913
215,0.399141,13.0894
216,0.3982,13.0874
217,0.397261,13.0852
218,0.396323,13.0827
219,0.395388,13.0801
220,0.394454,13.0773
221,0.393522,13.0743
222,0.392592,13.0711
223,0.391663,13.0677
224,0.390736,13.0641
225,0.389811,13.0604
226,0.388887,13.0565
227,0.387964,13.0525
228,0.387043,13.0482
229,0.386124,13.0439
230,0.385205,13.0393
231,0.384288,13.0346
232,0.383373,13.0298
233,0.382458,13.0248
234,0.381545,13.0197
235,0.380633,13.0145
236,0.379723,13.0091
237,0.378813,13.0036
238,0.377905,12.9979
239,0.376998,12.9921
240,0.376092,12.9862
241,0.375187,12.9802
242,0.374283,12.9741
243,0.37338,12.9679
244,0.372478,12.9615
245,0.371577,12.955
246,0.370677,12.9485
247,0.369778,12.9418
248,0.36888,12.935
249,0.367983,12.9281
250,0.367086,12.9212
251,0.366191,12.9141
252,0.365297,12.9069
253,0.364403,12.8997
254,0.363511,12.8923
255,0.362619,12.8849
256,0.361728,12.8774
257,0.360838,12.8698
258,0.359948,12.8622
259,0.35906,12.8544
260,0.358172,12.8466
261,0.357285,12.8387
262,0.356399,12.8308
263,0.355514,12.8227
264,0.354629,12.8147
265,0.353745,12.8065
266,0.352862,12.7983
267,0.35198,12.79
268,0.351099,12.7816
269,0.350218,12.7732
270,0.349338,12.7648
271,0.348459,12.7563
272,0.34758,12.7477
273,0.346702,12.7391
274,0.345825,12.7304
275,0.344949,12.7217
276,0.344073,12.7129
277,0.343198,12.7041
278,0.342324,12.6953
279,0.341451,12.6864
280,0.340578,12.6775
281,0.339706,12.6685
282,0.338835,12.6595
283,0.337965,12.6504
284,0.337095,12.6413
285,0.336226,12.6322
286,0.335357,12.623
287,0.33449,12.6138
288,0.333623,12.6046
289,0.332757,12.5954
290,0.331892,12.5861
291,0.331027,12.5768
292,0.330163,12.5675
293,0.3293,12.5581
294,0.328438,12.5487
295,0.327576,12.5393
296,0.326715,12.5299
297,0.325855,12.5204
298,0.324996,12.5109
299,0.324137,12.5015
300,0.32328,12.4919
301,0.322423,12.4824
302,0.321567,12.4729
303,0.320711,12.4633
304,0.319857,12.4537
305,0.319003,12.4442
306,0.31815,12.4345
307,0.317298,12.4249
308,0.316446,12.4153
309,0.315596,12.4057
310,0.314746,12.396
311,0.313897,12.3864
312,0.313049,12.3767
313,0.312202,12.367
314,0.311355,12.3574
315,0.31051,12.3477
316,0.309665,12.338
317,0.308821,12.3283
318,0.307978,12.3186
319,0.307136,12.3089
320,0.306295,12.2992
321,0.305455,12.2895
322,0.304615,12.2798
323,0.303777,12.27
324,0.302939,12.2603
325,0.302102,12.2506
326,0.301267,12.2409
327,0.300432,12.2312
328,0.299598,12.2215
329,0.298765,12.2118
330,0.297933,12.2021
331,0.297102,12.1924
332,0.296271,12.1827
333,0.295442,12.173
334,0.294614,12.1633
335,0.293787,12.1536
336,0.292961,12.144
337,0.292135,12.1343
338,0.291311,12.1246
339,0.290488,12.115
340,0.289666,12.1053
341,0.288844,12.0957
342,0.288024,12.0861
343,0.287205,12.0765
344,0.286387,12.0668
345,0.28557,12.0572
346,0.284754,12.0477
347,0.283939,12.0381
348,0.283125,12.0285
349,0.282312,12.019
350,0.2815,12.0094
351,0.280689,11.9999
352,0.27988,11.9903
353,0.279071,11.9808
354,0.278264,11.9713
355,0.277457,11.9619
356,0.276652,11.9524
357,0.275848,11.9429
358,0.275045,11.9335
359,0.274243,11.9241
360,0.273443,11.9147
361,0.272643,11.9053
362,0.271845,11.8959
363,0.271047,11.8865
364,0.270251,11.8772
365,0.269456,11.8678
366,0.268663,11.8585
367,0.26787,11.8492
368,0.267079,11.8399
369,0.266289,11.8306
370,0.2655,11.8214
371,0.264712,11.8122
372,0.263925,11.8029
373,0.26314,11.7937
374,0.262356,11.7846
375,0.261573,11.7754
376,0.260791,11.7663
377,0.260011,11.7571
378,0.259232,11.748
379,0.258454,11.7389
380,0.257677,11.7299
381,0.256902,11.7208
382,0.256128,11.7118
383,0.255355,11.7028
384,0.254583,11.6938
385,0.253813,11.6848
386,0.253044,11.6759
387,0.252276,11.667
388,0.25151,11.658
389,0.250745,11.6492
390,0.249981,11.6403
391,0.249219,11.6314
392,0.248458,11.6226
393,0.247698,11.6138
394,0.246939,11.605
395,0.246182,11.5963
396,0.245426,11.5875
397,0.244672,11.5788
398,0.243919,11.5701
399,0.243167,11.5614
400,0.242417,11.5528
401,0.241667,11.5442
402,0.24092,11.5355
403,0.240173,11.527
404,0.239429,11.5184
405,0.238685,11.5098
406,0.237943,11.5013
407,0.237202,11.4928
408,0.236463,11.4844
409,0.235725,11.4759
410,0.234988,11.4675
411,0.234253,11.4591
412,0.233519,11.4507
413,0.232787,11.4423
414,0.232056,11.434
415,0.231326,11.4257
416,0.230598,11.4174
417,0.229871,11.4091
418,0.229146,11.4009
419,0.228422,11.3926
420,0.2277,11.3844
421,0.226979,11.3763
422,0.226259,11.3681
423,0.225541,11.36
424,0.224825,11.3519
425,0.22411,11.3438
426,0.223396,11.3357
427,0.222684,11.3277
428,0.221973,11.3197
429,0.221264,11.3117
430,0.220556,11.3037
431,0.21985,11.2958
432,0.219145,11.2879
433,0.218441,11.28
434,0.217739,11.2721
435,0.217039,11.2643
436,0.21634,11.2565
437,0.215643,11.2487
438,0.214947,11.2409
439,0.214252,11.2331
440,0.213559,11.2254
441,0.212868,11.2177
442,0.212178,11.21
443,0.211489,11.2024
444,0.210803,11.1948
445,0.210117,11.1871
446,0.209433,11.1796
447,0.208751,11.172
448,0.20807,11.1645
449,0.20739,11.157
450,0.206713,11.1495
451,0.206036,11.142
452,0.205362,11.1346
453,0.204688,11.1272
454,0.204016,11.1198
455,0.203346,11.1124
456,0.202678,11.1051
457,0.20201,11.0977
458,0.201345,11.0904
459,0.200681,11.0832
460,0.200018,11.0759
461,0.199357,11.0687
462,0.198698,11.0615
463,0.19804,11.0543
464,0.197383,11.0472
465,0.196729,11.04
466,0.196075,11.0329
467,0.195424,11.0258
468,0.194773,11.0188
469,0.194125,11.0117
470,0.193478,11.0047
471,0.192832,10.9977
472,0.192188,10.9908
473,0.191546,10.9838
474,0.190905,10.9769
475,0.190266,10.97
476,0.189628,10.9632
477,0.188992,10.9563
478,0.188357,10.9495
479,0.187724,10.9427
480,0.187092,10.9359
481,0.186462,10.9291
482,0.185834,10.9224
483,0.185207,10.9157
484,0.184582,10.909
485,0.183958,10.9024
486,0.183336,10.8957
487,0.182715,10.8891
488,0.182096,10.8825
489,0.181479,10.8759
490,0.180863,10.8694
491,0.180249,10.8629
492,0.179636,10.8564
493,0.179025,10.8499
494,0.178415,10.8434
495,0.177807,10.837
496,0.1772,10.8306
497,0.176595,10.8242
498,0.175992,10.8178
499,0.17539,10.8115
500,0.17479,10.8052
501,0.174191,10.7989
502,0.173594,10.7926
503,0.172999,10.7864
504,0.172405,10.7801
505,0.171812,10.7739
