Time,TR,RM
0,1,0.282723
1,0.977935,0.296035
2,0.958616,0.316278
3,0.941453,0.339508
4,0.926033,0.364825
5,0.912065,0.391955
6,0.899331,0.42081
7,0.887662,0.451377
8,0.87692,0.483681
9,0.866995,0.517766
10,0.857792,0.553686
11,0.849234,0.591503
12,0.841252,0.631283
13,0.833787,0.673093
14,0.826786,0.717001
15,0.820205,0.763074
16,0.814002,0.811379
17,0.80814,0.861983
18,0.802588,0.914947
19,0.797313,0.970332
20,0.792291,1.0282
21,0.787497,1.08859
22,0.782907,1.15157
23,0.778503,1.21718
24,0.774265,1.28545
25,0.770176,1.35642
26,0.766221,1.43013
27,0.762386,1.50658
28,0.758658,1.5858
29,0.755024,1.6678
30,0.751474,1.75257
31,0.747998,1.84011
32,0.744586,1.93041
33,0.74123,2.02343
34,0.737923,2.11916
35,0.734658,2.21754
36,0.731427,2.31854
37,0.728227,2.42209
38,0.725051,2.52814
39,0.721895,2.63661
40,0.718755,2.74743
41,0.715627,2.86051
42,0.712507,2.97576
43,0.709394,3.09308
44,0.706285,3.21237
45,0.703178,3.33353
46,0.70007,3.45644
47,0.696961,3.58098
48,0.69385,3.70704
49,0.690734,3.83449
50,0.687615,3.96321
51,0.684491,4.09307
52,0.681363,4.22396
53,0.678229,4.35573
54,0.675091,4.48827
55,0.671949,4.62145
56,0.668802,4.75515
57,0.665652,4.88923
58,0.662499,5.02359
59,0.659343,5.1581
60,0.656186,5.29265
61,0.653029,5.42713
62,0.649872,5.56142
63,0.646716,5.69543
64,0.643562,5.82904
65,0.640411,5.96217
66,0.637264,6.09471
67,0.634122,6.22659
68,0.630986,6.35772
69,0.627856,6.48801
70,0.624735,6.61739
71,0.621623,6.74579
72,0.61852,6.87314
73,0.615428,6.99939
74,0.612347,7.12446
75,0.609278,7.24831
76,0.606223,7.37089
77,0.603181,7.49214
78,0.600154,7.61204
79,0.597142,7.73053
80,0.594145,7.84759
81,0.591165,7.96318
82,0.588202,8.07728
83,0.585257,8.18986
84,0.582329,8.30089
85,0.579419,8.41037
86,0.576528,8.51827
87,0.573656,8.62458
88,0.570804,8.72928
89,0.567971,8.83238
90,0.565158,8.93386
91,0.562365,9.03373
92,0.559592,9.13197
93,0.55684,9.22859
94,0.554108,9.32358
95,0.551397,9.41697
96,0.548707,9.50873
97,0.546037,9.5989
98,0.543388,9.68746
99,0.54076,9.77444
100,0.538152,9.85983
101,0.535565,9.94365
102,0.532998,10.0259
103,0.530452,10.1066
104,0.527926,10.1858
105,0.52542,10.2635
106,0.522935,10.3397
107,0.520469,10.4144
108,0.518023,10.4876
109,0.515596,10.5594
110,0.513189,10.6297
111,0.510802,10.6986
112,0.508433,10.7661
113,0.506082,10.8323
114,0.503751,10.897
115,0.501437,10.9604
116,0.499142,11.0225
117,0.496864,11.0833
118,0.494604,11.1428
119,0.492362,11.2011
120,0.490136,11.258
121,0.487928,11.3138
122,0.485736,11.3683
123,0.48356,11.4217
124,0.4814,11.4739
125,0.479256,11.5249
126,0.477128,11.5748
127,0.475015,11.6235
128,0.472917,11.6712
129,0.470834,11.7178
130,0.468765,11.7633
131,0.466711,11.8078
132,0.46467,11.8513
133,0.462644,11.8937
134,0.460631,11.9352
135,0.458631,11.9757
136,0.456644,12.0152
137,0.454671,12.0538
138,0.452709,12.0915
139,0.450761,12.1283
140,0.448824,12.1642
141,0.446899,12.1993
142,0.444986,12.2334
143,0.443085,12.2668
144,0.441194,12.2993
145,0.439315,12.331
146,0.437447,12.362
147,0.435589,12.3921
148,0.433742,12.4215
149,0.431904,12.4502
150,0.430077,12.4781
151,0.42826,12.5053
152,0.426453,12.5318
153,0.424655,12.5576
154,0.422866,12.5828
155,0.421087,12.6073
156,0.419316,12.6311
157,0.417555,12.6543
158,0.415802,12.6769
159,0.414057,12.6988
160,0.412321,12.7202
161,0.410593,12.741
162,0.408873,12.7612
163,0.407162,12.7808
164,0.405457,12.7999
165,0.403761,12.8185
166,0.402072,12.8365
167,0.40039,12.854
168,0.398716,12.871
169,0.397049,12.8875
170,0.395389,12.9035
171,0.393735,12.9191
172,0.392089,12.9341
173,0.390449,12.9487
174,0.388816,12.9629
175,0.387189,12.9766
176,0.385569,12.9899
177,0.383955,13.0028
178,0.382347,13.0153
179,0.380745,13.0273
180,0.379149,13.039
181,0.37756,13.0503
182,0.375976,13.0612
183,0.374397,13.0717
184,0.372825,13.0819
185,0.371258,13.0917
186,0.369696,13.1012
187,0.36814,13.1103
188,0.36659,13.1191
189,0.365044,13.1276
190,0.363504,13.1358
191,0.36197,13.1436
192,0.36044,13.1512
193,0.358915,13.1584
194,0.357396,13.1654
195,0.355881,13.172
196,0.354372,13.1784
197,0.352867,13.1845
198,0.351367,13.1904
199,0.349872,13.196
200,0.348381,13.2013
201,0.346895,13.2064
202,0.345414,13.2112
203,0.343938,13.2158
204,0.342466,13.2202
205,0.340999,13.2243
206,0.339536,13.2283
207,0.338077,13.232
208,0.336623,13.2354
209,0.335174,13.2387
210,0.333728,13.2418
211,0.332287,13.2447
212,0.330851,13.2473
213,0.329419,13.2498
214,0.327991,13.2521
215,0.326567,13.2543
216,0.325147,13.2562
217,0.323732,13.258
218,0.322321,13.2596
219,0.320914,13.261
220,0.319511,13.2623
221,0.318112,13.2634
222,0.316717,13.2644
223,0.315327,13.2652
224,0.31394,13.2658
225,0.312558,13.2664
226,0.31118,13.2667
227,0.309805,13.267
228,0.308435,13.2671
229,0.307069,13.2671
230,0.305706,13.2669
231,0.304348,13.2667
232,0.302994,13.2663
233,0.301643,13.2657
234,0.300297,13.2651
235,0.298954,13.2644
236,0.297616,13.2635
237,0.296281,13.2626
238,0.29495,13.2615
239,0.293624,13.2604
240,0.292301,13.2591
241,0.290982,13.2577
242,0.289667,13.2563
243,0.288356,13.2547
244,0.287049,13.2531
245,0.285746,13.2514
246,0.284446,13.2496
247,0.283151,13.2477
248,0.281859,13.2457
249,0.280571,13.2437
250,0.279288,13.2416
251,0.278008,13.2394
252,0.276732,13.2371
253,0.27546,13.2348
254,0.274191,13.2324
255,0.272927,13.2299
256,0.271667,13.2274
257,0.27041,13.2248
258,0.269157,13.2221
259,0.267909,13.2194
260,0.266664,13.2166
261,0.265423,13.2138
262,0.264186,13.2109
263,0.262952,13.2079
264,0.261723,13.2049
265,0.260498,13.2019
266,0.259276,13.1988
267,0.258058,13.1957
268,0.256845,13.1925
269,0.255635,13.1893
270,0.254429,13.186
271,0.253227,13.1827
272,0.252029,13.1794
273,0.250834,13.176
274,0.249644,13.1726
275,0.248458,13.1691
276,0.247275,13.1656
277,0.246097,13.1621
278,0.244922,13.1585
279,0.243751,13.1549
280,0.242584,13.1513
281,0.241421,13.1477
282,0.240262,13.144
283,0.239107,13.1403
284,0.237956,13.1366
285,0.236809,13.1328
286,0.235665,13.129
287,0.234526,13.1252
288,0.23339,13.1214
289,0.232259,13.1176
290,0.231131,13.1137
291,0.230008,13.1098
292,0.228888,13.1059
293,0.227772,13.102
294,0.22666,13.0981
295,0.225552,13.0941
296,0.224448,13.0902
297,0.223348,13.0862
298,0.222252,13.0822
299,0.22116,13.0782
300,0.220072,13.0742
301,0.218987,13.0702
302,0.217907,13.0661
303,0.216831,13.0621
304,0.215758,13.058
305,0.21469,13.0539
306,0.213625,13.0499
307,0.212564,13.0458
308,0.211508,13.0417
309,0.210455,13.0376
310,0.209406,13.0335
311,0.208361,13.0294
312,0.20732,13.0253
313,0.206283,13.0212
314,0.20525,13.0171
315,0.204221,13.013
316,0.203196,13.0088
317,0.202175,13.0047
318,0.201158,13.0006
319,0.200144,12.9965
320,0.199135,12.9924
321,0.198129,12.9882
322,0.197128,12.9841
323,0.19613,12.98
324,0.195136,12.9759
325,0.194146,12.9718
326,0.19316,12.9676
327,0.192178,12.9635
328,0.1912,12.9594
329,0.190226,12.9553
330,0.189256,12.9512
331,0.18829,12.9471
332,0.187327,12.943
333,0.186369,12.9389
334,0.185414,12.9349
335,0.184463,12.9308
336,0.183516,12.9267
337,0.182573,12.9226
338,0.181634,12.9186
339,0.180699,12.9145
340,0.179767,12.9105
341,0.17884,12.9064
342,0.177916,12.9024
343,0.176996,12.8984
344,0.17608,12.8944
345,0.175168,12.8904
346,0.17426,12.8864
347,0.173356,12.8824
348,0.172455,12.8784
349,0.171558,12.8744
350,0.170665,12.8705
351,0.169776,12.8665
352,0.168891,12.8626
353,0.16801,12.8586
354,0.167132,12.8547
355,0.166258,12.8508
356,0.165388,12.8469
357,0.164522,12.843
358,0.163659,12.8391
359,0.1628,12.8353
360,0.161945,12.8314
361,0.161094,12.8276
362,0.160246,12.8237
363,0.159403,12.8199
364,0.158563,12.8161
365,0.157726,12.8123
366,0.156894,12.8085
367,0.156065,12.8048
368,0.15524,12.801
369,0.154418,12.7972
370,0.153601,12.7935
371,0.152787,12.7898
372,0.151976,12.7861
373,0.151169,12.7824
374,0.150366,12.7787
375,0.149567,12.775
376,0.148771,12.7714
377,0.147979,12.7677
378,0.147191,12.7641
379,0.146406,12.7605
380,0.145625,12.7569
381,0.144847,12.7533
382,0.144073,12.7497
383,0.143303,12.7462
384,0.142536,12.7426
385,0.141772,12.7391
386,0.141013,12.7356
387,0.140257,12.7321
388,0.139504,12.7286
389,0.138755,12.7251
390,0.138009,12.7217
391,0.137267,12.7182
392,0.136529,12.7148
393,0.135794,12.7114
394,0.135062,12.708
395,0.134334,12.7046
396,0.13361,12.7012
397,0.132889,12.6978
398,0.132171,12.6945
399,0.131457,12.6912
400,0.130746,12.6879
401,0.130039,12.6846
402,0.129335,12.6813
403,0.128634,12.678
404,0.127937,12.6748
405,0.127243,12.6715
406,0.126553,12.6683
407,0.125866,12.6651
408,0.125182,12.6619
409,0.124502,12.6587
410,0.123825,12.6555
411,0.123151,12.6524
412,0.122481,12.6493
413,0.121814,12.6461
414,0.12115,12.643
415,0.12049,12.6399
416,0.119833,12.6369
417,0.119179,12.6338
418,0.118528,12.6308
419,0.117881,12.6277
420,0.117236,12.6247
421,0.116595,12.6217
422,0.115958,12.6187
423,0.115323,12.6158
424,0.114692,12.6128
425,0.114063,12.6099
426,0.113438,12.6069
427,0.112817,12.604
428,0.112198,12.6011
429,0.111582,12.5983
430,0.11097,12.5954
431,0.11036,12.5925
432,0.109754,12.5897
433,0.109151,12.5869
434,0.108551,12.5841
435,0.107954,12.5813
436,0.10736,12.5785
437,0.106769,12.5757
438,0.106181,12.573
439,0.105596,12.5702
440,0.105014,12.5675
441,0.104435,12.5648
442,0.103859,12.5621
443,0.103286,12.5595
444,0.102716,12.5568
445,0.102149,12.5541
446,0.101585,12.5515
447,0.101024,12.5489
448,0.100466,12.5463
449,0.0999104,12.5437
450,0.099358,12.5411
451,0.0988084,12.5386
452,0.0982618,12.536
453,0.097718,12.5335
454,0.0971771,12.531
455,0.096639,12.5285
456,0.0961037,12.526
457,0.0955712,12.5235
458,0.0950416,12.521
459,0.0945147,12.5186
460,0.0939907,12.5161
461,0.0934694,12.5137
462,0.0929508,12.5113
463,0.0924351,12.5089
464,0.091922,12.5065
465,0.0914117,12.5042
466,0.0909041,12.5018
467,0.0903992,12.4995
468,0.089897,12.4971
469,0.0893975,12.4948
470,0.0889006,12.4925
471,0.0884064,12.4902
472,0.0879149,12.488
473,0.087426,12.4857
474,0.0869397,12.4834
475,0.086456,12.4812
476,0.0859749,12.479
477,0.0854965,12.4768
478,0.0850206,12.4746
479,0.0845472,12.4724
480,0.0840765,12.4702
481,0.0836082,12.4681
482,0.0831425,12.4659
483,0.0826794,12.4638
484,0.0822187,12.4617
485,0.0817606,12.4596
486,0.0813049,12.4575
487,0.0808517,12.4554
488,0.080401,12.4533
489,0.0799527,12.4513
490,0.0795069,12.4492
491,0.0790635,12.4472
492,0.0786226,12.4452
493,0.078184,12.4432
494,0.0777479,12.4412
495,0.0773141,12.4392
496,0.0768827,12.4372
497,0.0764537,12.4353
498,0.0760271,12.4333
499,0.0756028,12.4314
500,0.0751808,12.4295
501,0.0747612,12.4276
502,0.0743438,12.4257
